,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell23,Cell24,Cell25,Cell26,Cell27,Cell1,Cell2,Cell3
Cell1,1,0.7500502423,0.6364111848,0.4665590268,0.2672363849,0.7342905595,0.9245847547,0.7807800509,0.8533487999,0.2818302341,0.6467786356,0.7945210574,0.743939274,0.04221729729,0.690777335,0.7129859655,0.7142674624,0.7462575475,0.7976598472,0.9108575568,0.9121658154,0.7408917156,0.6266773593,0.7629702557,0.9378129331,0.7279922176,0.6411342498,0.5610202609,0.07822648939,0.4470910021
Cell2,0.7500502423,1,0.953737249,0.8552036958,0.2980232395,0.9267780321,0.8584416643,0.9430075233,0.878925726,0.5578656016,0.8867234333,0.8411607997,0.3423755089,0.175190018,0.3914609796,0.6797253333,0.6688672347,0.7498030937,0.8025997991,0.762530476,0.6770791345,0.7077016139,0.8881939392,0.9317687136,0.6952234186,0.8740210334,0.7701756594,0.5694699252,0.1562307352,0.5036892121
Cell3,0.6364111848,0.953737249,1,0.9234567187,0.2056075475,0.8426063877,0.7740529476,0.8738011086,0.7539422385,0.5639384375,0.8663626094,0.7068521148,0.2442069684,0.06599695361,0.234895553,0.5181578049,0.554630167,0.5971892366,0.7045708459,0.674978979,0.5362014616,0.5895930591,0.9047554812,0.8846453758,0.5564477494,0.7554111286,0.7051186576,0.3896537037,0.08052232314,0.3618620888
Cell4,0.4665590268,0.8552036958,0.9234567187,1,0.2161121601,0.82586969,0.6559457405,0.8212397964,0.686085318,0.7557762132,0.8873647797,0.6894626523,0.07433631694,0.204649639,0.03690560349,0.491493923,0.5060205675,0.5838281861,0.6406654142,0.5592623749,0.3712813318,0.6104273764,0.9238236107,0.861509627,0.3932227044,0.7328574012,0.7739781545,0.4307366968,0.1005515006,0.3386331787
Cell5,0.2672363849,0.2980232395,0.2056075475,0.2161121601,1,0.4035724855,0.3017309227,0.3651279461,0.3674731451,0.2419607709,0.296017856,0.3378785526,0.08464128393,0.05827095149,0.3057121756,0.4816118314,0.1708946426,0.3673973536,0.3958804573,0.2741317389,0.2268436106,0.3438327403,0.177394541,0.3441745208,0.2701249597,0.2659434701,0.2992911765,0.4506980324,0.1344810456,0.7299980877
Cell6,0.7342905595,0.9267780321,0.8426063877,0.82586969,0.4035724855,1,0.863891353,0.9575740317,0.9385393531,0.7110683533,0.9170480032,0.9325699646,0.3275981192,0.3527396685,0.374730895,0.8385403282,0.7519881346,0.8928975992,0.8543746851,0.7657511581,0.6810293674,0.8563013824,0.8618558232,0.9368452943,0.7059166577,0.9301131715,0.9011883152,0.7912298292,0.2486251316,0.6344648501
Cell7,0.9245847547,0.8584416643,0.7740529476,0.6559457405,0.3017309227,0.863891353,1,0.9049196831,0.9068361835,0.4604657624,0.8002790962,0.8576530326,0.5661670994,0.1390955163,0.5609694349,0.7634098068,0.7241768422,0.7926922288,0.8457273918,0.8941543572,0.8540089733,0.7762302408,0.7263205426,0.8664677809,0.8665528286,0.8036547121,0.7397451022,0.6227472255,0.09507735941,0.4970968513
Cell8,0.7807800509,0.9430075233,0.8738011086,0.8212397964,0.3651279461,0.9575740317,0.9049196831,1,0.9237160928,0.6391063905,0.9062088126,0.9088614931,0.4067310398,0.27843345,0.4117097046,0.7640155877,0.7438090885,0.8249584917,0.8338806635,0.7979778884,0.7025956866,0.7947185034,0.8510612305,0.9326965201,0.7277948484,0.8894091788,0.8341731864,0.681915716,0.1458473716,0.5681121252
Cell9,0.8533487999,0.878925726,0.7539422385,0.686085318,0.3674731451,0.9385393531,0.9068361835,0.9237160928,1,0.6011724445,0.8850972869,0.9611722854,0.5334720928,0.240054858,0.5798522632,0.9109445127,0.7767252402,0.914885013,0.9444790038,0.8951975635,0.8521632145,0.9297601136,0.8046262122,0.9226320858,0.8732975262,0.9061072375,0.887042079,0.798457118,0.1315346923,0.6066766316
Cell10,0.2818302341,0.5578656016,0.5639384375,0.7557762132,0.2419607709,0.7110683533,0.4604657624,0.6391063905,0.6011724445,1,0.769233973,0.6852313355,0.01193142124,0.5375947753,0.1596259499,0.569911614,0.5409175129,0.6537898071,0.5490992849,0.3765182721,0.2046174646,0.700594791,0.740136943,0.6508862571,0.233560271,0.6995287223,0.8440852984,0.6761589252,0.2120310736,0.3542422633
Cell11,0.6467786356,0.8867234333,0.8663626094,0.8873647797,0.296017856,0.9170480032,0.8002790962,0.9062088126,0.8850972869,0.769233973,1,0.8707020094,0.3156356548,0.2190504183,0.2851932622,0.7753659679,0.6606690451,0.7852025236,0.8758019756,0.7546846963,0.6265066054,0.831952912,0.9085036761,0.9233160818,0.6299507275,0.8380776715,0.8884707444,0.6801600717,0.1260796007,0.4990232743
Cell12,0.7945210574,0.8411607997,0.7068521148,0.6894626523,0.3378785526,0.9325699646,0.8576530326,0.9088614931,0.9611722854,0.6852313355,0.8707020094,1,0.5038668485,0.4425280762,0.4503884735,0.8747302898,0.8452682446,0.9467287363,0.8732919397,0.8282397762,0.778515015,0.9356768181,0.8182906772,0.8896314932,0.7973408963,0.9569680879,0.919863511,0.8562972047,0.2268346782,0.6073671629
Cell13,0.743939274,0.3423755089,0.2442069684,0.07433631694,0.08464128393,0.3275981192,0.5661670994,0.4067310398,0.5334720928,0.01193142124,0.3156356548,0.5038668485,1,0.1921353265,0.634310356,0.4921705784,0.5082232494,0.4890204662,0.5611058692,0.7111746278,0.7179054308,0.5112322235,0.3267260467,0.3940905356,0.728158565,0.3793307757,0.3477877104,0.3300476405,0.02711565917,0.2941676594
Cell14,0.04221729729,0.175190018,0.06599695361,0.204649639,0.05827095149,0.3527396685,0.1390955163,0.27843345,0.240054858,0.5375947753,0.2190504183,0.4425280762,0.1921353265,1,0.3058845745,0.2337159411,0.4960269331,0.4414701354,0.03900414608,0.03653594191,0.01216389083,0.3353531167,0.222573284,0.1768945844,0.009017039612,0.5143698884,0.428257481,0.5625370734,0.4097904562,0.2149628546
Cell15,0.690777335,0.3914609796,0.234895553,0.03690560349,0.3057121756,0.374730895,0.5609694349,0.4117097046,0.5798522632,0.1596259499,0.2851932622,0.4503884735,0.634310356,0.3058845745,1,0.5726286611,0.3214251256,0.4198717283,0.6237421246,0.7090893276,0.7286489572,0.4797177339,0.2043886835,0.4376620878,0.7625704253,0.3114297495,0.2648388743,0.3102005119,0.1048421971,0.3757905035
Cell16,0.7129859655,0.6797253333,0.5181578049,0.491493923,0.4816118314,0.8385403282,0.7634098068,0.7640155877,0.9109445127,0.569911614,0.7753659679,0.8747302898,0.4921705784,0.2337159411,0.5726286611,1,0.6717294194,0.898365676,0.9257852884,0.7766609636,0.7685979783,0.9254398284,0.6139787138,0.7841806992,0.777009914,0.7800384721,0.8403241033,0.8970296737,0.1556535934,0.7083461989
Cell17,0.7142674624,0.6688672347,0.554630167,0.5060205675,0.1708946426,0.7519881346,0.7241768422,0.7438090885,0.7767252402,0.5409175129,0.6606690451,0.8452682446,0.5082232494,0.4960269331,0.3214251256,0.6717294194,1,0.8578842819,0.634923656,0.7124566946,0.681056377,0.7876819534,0.6528460795,0.6773661731,0.6915433051,0.8029446354,0.7746675622,0.7644288287,0.3982047673,0.473449552
Cell18,0.7462575475,0.7498030937,0.5971892366,0.5838281861,0.3673973536,0.8928975992,0.7926922288,0.8249584917,0.914885013,0.6537898071,0.7852025236,0.9467287363,0.4890204662,0.4414701354,0.4198717283,0.898365676,0.8578842819,1,0.8209408272,0.7728288596,0.7514100631,0.9339142191,0.7279603914,0.8112632225,0.7629851721,0.911610315,0.8963883201,0.9183405576,0.3056869959,0.6725097184
Cell19,0.7976598472,0.8025997991,0.7045708459,0.6406654142,0.3958804573,0.8543746851,0.8457273918,0.8338806635,0.9444790038,0.5490992849,0.8758019756,0.8732919397,0.5611058692,0.03900414608,0.6237421246,0.9257852884,0.634923656,0.8209408272,1,0.893316158,0.8337761874,0.9020197915,0.7621303064,0.8802710545,0.838996171,0.7755839784,0.8325908141,0.7279849608,0.04568255219,0.5947895104
Cell20,0.9108575568,0.762530476,0.674978979,0.5592623749,0.2741317389,0.7657511581,0.8941543572,0.7979778884,0.8951975635,0.3765182721,0.7546846963,0.8282397762,0.7111746278,0.03653594191,0.7090893276,0.7766609636,0.7124566946,0.7728288596,0.893316158,1,0.8976910899,0.8322213747,0.719433534,0.8375703325,0.9161656479,0.7219422822,0.7270951794,0.5922101337,0.05921244791,0.4744336851
Cell21,0.9121658154,0.6770791345,0.5362014616,0.3712813318,0.2268436106,0.6810293674,0.8540089733,0.7025956866,0.8521632145,0.2046174646,0.6265066054,0.778515015,0.7179054308,0.01216389083,0.7286489572,0.7685979783,0.681056377,0.7514100631,0.8337761874,0.8976910899,1,0.7633421075,0.5524860652,0.722803059,0.9822645755,0.6874091067,0.6215570798,0.5850134759,0.02143110347,0.4505749374
Cell22,0.7408917156,0.7077016139,0.5895930591,0.6104273764,0.3438327403,0.8563013824,0.7762302408,0.7947185034,0.9297601136,0.700594791,0.831952912,0.9356768181,0.5112322235,0.3353531167,0.4797177339,0.9254398284,0.7876819534,0.9339142191,0.9020197915,0.8322213747,0.7633421075,1,0.7654032418,0.8403215898,0.7855344583,0.8533428395,0.9485662789,0.8790808767,0.1652282527,0.5896294282
Cell23,0.6266773593,0.8881939392,0.9047554812,0.9238236107,0.177394541,0.8618558232,0.7263205426,0.8510612305,0.8046262122,0.740136943,0.9085036761,0.8182906772,0.3267260467,0.222573284,0.2043886835,0.6139787138,0.6528460795,0.7279603914,0.7621303064,0.719433534,0.5524860652,0.7654032418,1,0.9145751292,0.5731529442,0.8447723697,0.8675521191,0.5555737405,0.164315911,0.397416915
Cell24,0.7629702557,0.9317687136,0.8846453758,0.861509627,0.3441745208,0.9368452943,0.8664677809,0.9326965201,0.9226320858,0.6508862571,0.9233160818,0.8896314932,0.3940905356,0.1768945844,0.4376620878,0.7841806992,0.6773661731,0.8112632225,0.8802710545,0.8375703325,0.722803059,0.8403215898,0.9145751292,1,0.7460361991,0.8768059247,0.8820177995,0.6645399608,0.1076498645,0.5315255831
Cell25,0.9378129331,0.6952234186,0.5564477494,0.3932227044,0.2701249597,0.7059166577,0.8665528286,0.7277948484,0.8732975262,0.233560271,0.6299507275,0.7973408963,0.728158565,0.009017039612,0.7625704253,0.777009914,0.6915433051,0.7629851721,0.838996171,0.9161656479,0.9822645755,0.7855344583,0.5731529442,0.7460361991,1,0.7109298236,0.6489265968,0.5968489376,0.001885804071,0.4732361114
Cell26,0.7279922176,0.8740210334,0.7554111286,0.7328574012,0.2659434701,0.9301131715,0.8036547121,0.8894091788,0.9061072375,0.6995287223,0.8380776715,0.9569680879,0.3793307757,0.5143698884,0.3114297495,0.7800384721,0.8029446354,0.911610315,0.7755839784,0.7219422822,0.6874091067,0.8533428395,0.8447723697,0.8768059247,0.7109298236,1,0.8922202835,0.8114191108,0.2892571749,0.5557641902
Cell27,0.6411342498,0.7701756594,0.7051186576,0.7739781545,0.2992911765,0.9011883152,0.7397451022,0.8341731864,0.887042079,0.8440852984,0.8884707444,0.919863511,0.3477877104,0.428257481,0.2648388743,0.8403241033,0.7746675622,0.8963883201,0.8325908141,0.7270951794,0.6215570798,0.9485662789,0.8675521191,0.8820177995,0.6489265968,0.8922202835,1,0.8403674436,0.1976096168,0.5419696847
Cell1,0.5610202609,0.5694699252,0.3896537037,0.4307366968,0.4506980324,0.7912298292,0.6227472255,0.681915716,0.798457118,0.6761589252,0.6801600717,0.8562972047,0.3300476405,0.5625370734,0.3102005119,0.8970296737,0.7644288287,0.9183405576,0.7279849608,0.5922101337,0.5850134759,0.8790808767,0.5555737405,0.6645399608,0.5968489376,0.8114191108,0.8403674436,1,0.4340921756,0.6992307427
Cell2,0.07822648939,0.1562307352,0.08052232314,0.1005515006,0.1344810456,0.2486251316,0.09507735941,0.1458473716,0.1315346923,0.2120310736,0.1260796007,0.2268346782,0.02711565917,0.4097904562,0.1048421971,0.1556535934,0.3982047673,0.3056869959,0.04568255219,0.05921244791,0.02143110347,0.1652282527,0.164315911,0.1076498645,0.001885804071,0.2892571749,0.1976096168,0.4340921756,1,0.2949973375
Cell3,0.4470910021,0.5036892121,0.3618620888,0.3386331787,0.7299980877,0.6344648501,0.4970968513,0.5681121252,0.6066766316,0.3542422633,0.4990232743,0.6073671629,0.2941676594,0.2149628546,0.3757905035,0.7083461989,0.473449552,0.6725097184,0.5947895104,0.4744336851,0.4505749374,0.5896294282,0.397416915,0.5315255831,0.4732361114,0.5557641902,0.5419696847,0.6992307427,0.2949973375,1
