,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9
Cell1,1,0.9740891062,0.6040432704,0.9649130481,0.8636962838,0.9626953796,0.8959472562,0.06992499604,0.4094138471,0.8994101908,0.5293596344,0.621641918,0.9677056757,0.9697576024,0.9568221497,0.4511591009,0.9108549611,0.1900536784,0.5266561627,0.9686938813,0.9652215727,0.967822934,0.5880552841
Cell2,0.9740891062,1,0.532494083,0.9728174846,0.8333038772,0.9777410069,0.8940648012,0.1229148911,0.4016049014,0.9205129456,0.5247457943,0.637730174,0.9755034293,0.9836598538,0.9753782166,0.4689868784,0.8869669714,0.1633496163,0.5118461589,0.9853340969,0.9825208519,0.9825650795,0.5726722617
Cell3,0.6040432704,0.532494083,1,0.6667789221,0.3543310403,0.5350180565,0.5794294763,0.1153367498,0.8399987545,0.2688377019,0.344604615,0.03015228905,0.5552870837,0.5650247328,0.6094336327,0.05265246354,0.6109095808,0.3342150293,0.3485008207,0.5583622751,0.5609456733,0.5434219527,0.7355380788
Cell4,0.9649130481,0.9728174846,0.6667789221,1,0.7983697134,0.9674772182,0.9122260504,0.06423570827,0.5432119361,0.8447805001,0.522857269,0.5375806602,0.9649819398,0.9804524334,0.9785958211,0.3625462384,0.9111401153,0.2416334099,0.537787944,0.9797933204,0.9774083,0.9736058064,0.6797615124
Cell5,0.8636962838,0.8333038772,0.3543310403,0.7983697134,1,0.8288003591,0.7678285551,0.05704691144,0.1067819398,0.8926616177,0.489209389,0.6355932297,0.8205709195,0.8207784575,0.8156768954,0.6306489385,0.780751012,0.1632091056,0.4592411046,0.8132124367,0.7970905617,0.8292139212,0.4780920653
Cell6,0.9626953796,0.9777410069,0.5350180565,0.9674772182,0.8288003591,1,0.9268989235,0.09574340918,0.3756122943,0.9134623608,0.5319923698,0.6239846373,0.9687652122,0.9804342961,0.9539865512,0.4320211342,0.8849833015,0.1858833094,0.5274507857,0.9808236052,0.9777825633,0.9696201223,0.5483556111
Cell7,0.8959472562,0.8940648012,0.5794294763,0.9122260504,0.7678285551,0.9268989235,1,0.1559719722,0.3873819102,0.8161729253,0.5068336614,0.5378392557,0.8970463018,0.9126570092,0.8757969146,0.3264157877,0.8194723331,0.1757267808,0.4127145526,0.9072648797,0.9044059883,0.8833766376,0.526304391
Cell8,0.06992499604,0.1229148911,0.1153367498,0.06423570827,0.05704691144,0.09574340918,0.1559719722,1,0.08813800325,0.163210747,0.07021000847,0.1882938245,0.08952129567,0.04807535151,0.06520803991,0.04843678623,0.02210726258,0.6225936929,0.6716756678,0.05114582881,0.04767239673,0.0599451703,0.05921818439
Cell9,0.4094138471,0.4016049014,0.8399987545,0.5432119361,0.1067819398,0.3756122943,0.3873819102,0.08813800325,1,0.0624713425,0.2070197503,0.2067886704,0.3928048692,0.4427036162,0.5148596254,0.2975534154,0.4794864316,0.3312450961,0.3129060637,0.4497359328,0.4557960845,0.4377699321,0.7308769691
Cell10,0.8994101908,0.9205129456,0.2688377019,0.8447805001,0.8926616177,0.9134623608,0.8161729253,0.163210747,0.0624713425,1,0.5195106684,0.7587101066,0.9095892573,0.9028512807,0.870632675,0.6183002171,0.8163655751,0.05623244854,0.4279036352,0.9012563276,0.8913144063,0.9061983225,0.402922349
Cell11,0.5293596344,0.5247457943,0.344604615,0.522857269,0.489209389,0.5319923698,0.5068336614,0.07021000847,0.2070197503,0.5195106684,1,0.2107296085,0.5055032776,0.5156191671,0.5041689964,0.2767806803,0.4572629299,0.1833861412,0.241804945,0.5185007645,0.5073404183,0.4931595613,0.3409903615
Cell12,0.621641918,0.637730174,0.03015228905,0.5375806602,0.6355932297,0.6239846373,0.5378392557,0.1882938245,0.2067886704,0.7587101066,0.2107296085,1,0.6465152232,0.6150956419,0.5782233856,0.5412912811,0.5577763514,0.0893151179,0.2288063677,0.6136548877,0.6235092036,0.6365330157,0.07740007818
Cell13,0.9677056757,0.9755034293,0.5552870837,0.9649819398,0.8205709195,0.9687652122,0.8970463018,0.08952129567,0.3928048692,0.9095892573,0.5055032776,0.6465152232,1,0.9816442128,0.955396478,0.4377417952,0.896228974,0.184988169,0.5203271891,0.9818484392,0.9799745549,0.9723397554,0.5551630014
Cell14,0.9697576024,0.9836598538,0.5650247328,0.9804524334,0.8207784575,0.9804342961,0.9126570092,0.04807535151,0.4427036162,0.9028512807,0.5156191671,0.6150956419,0.9816442128,1,0.9677106115,0.3700568335,0.9138075247,0.2150802006,0.5461636747,0.998944128,0.9940731783,0.985077901,0.6009798925
Cell1,0.9568221497,0.9753782166,0.6094336327,0.9785958211,0.8156768954,0.9539865512,0.8757969146,0.06520803991,0.5148596254,0.870632675,0.5041689964,0.5782233856,0.955396478,0.9677106115,1,0.4225567756,0.9044749288,0.1898909175,0.5247439054,0.9674772507,0.9663132126,0.9793042358,0.6828168634
Cell2,0.4511591009,0.4689868784,0.05265246354,0.3625462384,0.6306489385,0.4320211342,0.3264157877,0.04843678623,0.2975534154,0.6183002171,0.2767806803,0.5412912811,0.4377417952,0.3700568335,0.4225567756,1,0.2335091139,0.06452173748,0.2270250429,0.3590332005,0.3610563094,0.4326151972,0.1133179443
Cell3,0.9108549611,0.8869669714,0.6109095808,0.9111401153,0.780751012,0.8849833015,0.8194723331,0.02210726258,0.4794864316,0.8163655751,0.4572629299,0.5577763514,0.896228974,0.9138075247,0.9044749288,0.2335091139,1,0.2467306021,0.5236464744,0.9122665282,0.9018975666,0.9204778183,0.6867274192
Cell4,0.1900536784,0.1633496163,0.3342150293,0.2416334099,0.1632091056,0.1858833094,0.1757267808,0.6225936929,0.3312450961,0.05623244854,0.1833861412,0.0893151179,0.184988169,0.2150802006,0.1898909175,0.06452173748,0.2467306021,1,0.6694725348,0.2165228382,0.2117461658,0.1967304887,0.2811871479
Cell5,0.5266561627,0.5118461589,0.3485008207,0.537787944,0.4592411046,0.5274507857,0.4127145526,0.6716756678,0.3129060637,0.4279036352,0.241804945,0.2288063677,0.5203271891,0.5461636747,0.5247439054,0.2270250429,0.5236464744,0.6694725348,1,0.5524287545,0.5540342451,0.5508829311,0.3555795982
Cell6,0.9686938813,0.9853340969,0.5583622751,0.9797933204,0.8132124367,0.9808236052,0.9072648797,0.05114582881,0.4497359328,0.9012563276,0.5185007645,0.6136548877,0.9818484392,0.998944128,0.9674772507,0.3590332005,0.9122665282,0.2165228382,0.5524287545,1,0.9958694274,0.9855394254,0.5947424225
