,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19
Cell1,1,0.019274394,0.174245574,0.442046048,0.135695291,0.440167296,0.19146162,0.221237115,0.410251301,0.349010267,0.516952362,0.322717446,0.53561684,0.000276685,0.306941532,0.453746197,0.236049335,0.171021998,0.101925299,0.348121366,0.026520967,0.093615484,0.397555028,0.376143013,0.423003081,0.396835624,0.24121751,0.262869582,0.03698674,0.33121236,0.124742634,0.233636621,0.31733038,0.444660808,0.131511957,0.381091536,0.303617317,0.038168843,0.317013173,0.1109814,0.386111602
Cell2,0.019274394,1,0.187187844,0.024995116,0.163875485,0.09982511,0.20464869,0.309348568,0.0778159,0.035997994,0.047509004,0.10909815,0.253737614,0.020336507,0.066295455,0.285103601,0.211416617,0.22340187,0.068621621,0.142937006,0.010683615,0.16260871,0.020285538,0.047834896,0.148386243,0.131859739,0.15842758,0.154158158,0.399754637,0.244175854,0.03664876,0.36840583,0.326581172,0.097709521,0.005388275,0.109942899,0.193817074,0.287976117,0.004440303,0.069094266,0.096028562
Cell3,0.174245574,0.187187844,1,0.31935488,0.183894193,0.400505251,0.160377434,0.016189897,0.323993568,0.215187155,0.256201078,0.449138706,0.116254653,0.092069353,0.086081058,0.226941259,0.391435704,0.398581013,0.013545365,0.491443394,0.091636765,0.123755388,0.3750901,0.420561043,0.129421112,0.479140738,0.170133313,0.267090875,0.078497088,0.491011075,0.156776145,0.534328148,0.439119496,0.394453858,0.305267705,0.251858769,0.016764616,0.205233395,0.379316795,0.100450616,0.454463166
Cell4,0.442046048,0.024995116,0.31935488,1,0.060548107,0.905370972,0.582296999,0.211468092,0.887231797,0.689685194,0.82168511,0.863605652,0.506222687,0.062935286,0.363062397,0.516111745,0.269573395,0.507820502,0.035312275,0.864612908,0.096340476,0.127879048,0.902657128,0.907366732,0.781381426,0.905277281,0.130935432,0.803289652,0.276560199,0.73837219,0.426546399,0.609851716,0.713746569,0.884036956,0.419058768,0.829196205,0.511821,5.27E-05,0.859376343,0.184591194,0.906299851
Cell5,0.135695291,0.163875485,0.183894193,0.060548107,1,0.08751864,0.052217599,0.026231418,0.060834027,0.113388828,0.111457028,0.123039684,0.183379836,0.100938616,0.305340632,0.10539035,0.180520788,0.256569438,0.128918782,0.044698297,0.215772103,0.174116153,0.044478606,0.040855381,0.038115761,0.06573635,0.129265855,0.063222706,0.101812419,0.092060368,0.020064812,0.13337624,0.166134041,0.062958267,0.059149875,0.048135851,0.038515141,0.104133491,0.01036493,0.115071612,0.067389314
Cell6,0.440167296,0.09982511,0.400505251,0.905370972,0.08751864,1,0.559002284,0.177719852,0.961480228,0.800551991,0.848753682,0.882893687,0.57585448,0.094365885,0.360050257,0.587198953,0.345429111,0.608026353,0.094175765,0.913607593,0.039336652,0.131883666,0.926419298,0.931560614,0.774103438,0.947193262,0.146911847,0.780810925,0.238442847,0.821082923,0.453143123,0.685909046,0.809831942,0.922892586,0.431092675,0.830812713,0.459918343,0.056137716,0.871324567,0.201643506,0.939158711
Cell7,0.19146162,0.20464869,0.160377434,0.582296999,0.052217599,0.559002284,1,0.189533421,0.580082286,0.442015606,0.440565735,0.524356599,0.146464395,0.058482089,0.144094272,0.148856676,0.067692006,0.291603956,0.022561949,0.49693157,0.021556035,0.089633783,0.576318447,0.579916159,0.563597834,0.518062227,0.028926271,0.710979765,0.473249365,0.357192573,0.551498608,0.200866277,0.361625191,0.498445297,0.146298637,0.560998612,0.403207308,0.057542673,0.654747891,0.109085359,0.563015357
Cell8,0.221237115,0.309348568,0.016189897,0.211468092,0.026231418,0.177719852,0.189533421,1,0.173565018,0.116597552,0.046361875,0.184657218,0.141362065,0.178954449,0.123923653,0.022067231,0.161489268,0.11804942,0.128388538,0.153764902,0.158024881,0.048104457,0.144426332,0.138707305,0.103731059,0.122080441,0.140787476,0.227359162,0.210893298,0.127507534,0.156507568,0.137312411,0.130372517,0.11463438,0.059738108,0.144100612,0.064236451,0.117765675,0.187383184,0.019252987,0.101373068
Cell9,0.410251301,0.0778159,0.323993568,0.887231797,0.060834027,0.961480228,0.580082286,0.173565018,1,0.846172643,0.817287881,0.86166039,0.519034657,0.096036042,0.336588823,0.490551931,0.265134805,0.591410722,0.090400977,0.859243414,0.013551506,0.142404577,0.908291255,0.912340303,0.800309565,0.8993715,0.098119042,0.820614626,0.355579123,0.735881892,0.51585149,0.581263191,0.799343655,0.876606824,0.410080581,0.839991006,0.510596084,0.024523824,0.875955734,0.161318553,0.906592857
Cell10,0.349010267,0.035997994,0.215187155,0.689685194,0.113388828,0.800551991,0.442015606,0.116597552,0.846172643,1,0.635817683,0.646159459,0.489363591,0.052723392,0.217408689,0.414655712,0.249464324,0.584360342,0.056296889,0.609524874,0.057840515,0.013534918,0.673164437,0.671540121,0.624636481,0.672463989,0.033330869,0.584248728,0.204880783,0.529442837,0.35317958,0.438810282,0.713142451,0.650349506,0.360402645,0.60625197,0.466697928,0.09409968,0.605703257,0.193189705,0.669946272
Cell11,0.516952362,0.047509004,0.256201078,0.82168511,0.111457028,0.848753682,0.440565735,0.046361875,0.817287881,0.635817683,1,0.735310085,0.707440962,0.009807809,0.302646022,0.661097425,0.499948403,0.411562056,0.060650956,0.797879735,0.004514774,0.217179079,0.84045265,0.81011222,0.843375721,0.831009539,0.198560067,0.706366197,0.112530515,0.628522126,0.343516956,0.464862477,0.578671469,0.921760152,0.330924649,0.819018545,0.495504477,0.141229216,0.754227835,0.127335307,0.847306281
Cell12,0.322717446,0.10909815,0.449138706,0.863605652,0.123039684,0.882893687,0.524356599,0.184657218,0.86166039,0.646159459,0.735310085,1,0.439972687,0.116927519,0.336645852,0.458867939,0.190065627,0.57077075,0.09969347,0.873815117,0.126939273,0.161494303,0.919899824,0.932635849,0.719258008,0.925298706,0.119842705,0.75135307,0.306012171,0.822186289,0.471659207,0.717816338,0.766598942,0.841915282,0.510044403,0.814322324,0.405198697,0.090929602,0.856616878,0.279553652,0.912261236
Cell13,0.53561684,0.253737614,0.116254653,0.506222687,0.183379836,0.57585448,0.146464395,0.141362065,0.519034657,0.489363591,0.707440962,0.439972687,1,0.136862458,0.100828241,0.786560322,0.602409232,0.43553923,0.011919849,0.487176179,0.157910825,0.007643446,0.44152898,0.43738649,0.415690005,0.549059706,0.399283906,0.233510062,0.421346219,0.449998593,0.152129347,0.495663301,0.492070164,0.60517378,0.055495457,0.367423186,0.173916745,0.347663176,0.336311349,0.005637281,0.514938295
