,Cell1,Cell2,Cell3,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8
Cell1,1.0,0.922759747578817,0.9195313980514604,-0.7294408000994622,-0.6090572648254404,0.9176200395068691,-0.7339773237792351,-0.09941910241232169,0.793158374619718,-0.17574858572681737,0.95724952209698
Cell2,0.922759747578817,1.0,0.9811686968643071,-0.8321136123626371,-0.5718895156778331,0.9205813351130098,-0.7169145489026506,-0.12084711014237504,0.7952863919352465,-0.1957985870862765,0.9460964773885219
Cell3,0.9195313980514604,0.9811686968643071,1.0,-0.8256744505580232,-0.5917459624515913,0.9287790008434743,-0.7396907790017592,-0.12391266755972787,0.7902370834512071,-0.18656425988731404,0.9313686359274722
Cell1,-0.7294408000994622,-0.8321136123626371,-0.8256744505580232,1.0,0.4228348607001765,-0.8232411440489209,0.6243460498677555,0.060489134923889604,-0.5779285130550876,0.06413339662492198,-0.746936298838962
Cell2,-0.6090572648254404,-0.5718895156778331,-0.5917459624515913,0.4228348607001765,1.0,-0.6603282516989711,0.8536116254391017,0.29510260219580725,-0.526201834574924,0.2211235158652245,-0.5793791150851252
Cell3,0.9176200395068691,0.9205813351130098,0.9287790008434743,-0.8232411440489209,-0.6603282516989711,1.0,-0.7617511545533084,-0.10707339250123836,0.7742520477445187,-0.1209835143127548,0.900134503920843
Cell4,-0.7339773237792351,-0.7169145489026506,-0.7396907790017592,0.6243460498677555,0.8536116254391017,-0.7617511545533084,1.0,0.2172486531390484,-0.6149617828379489,0.2869358085359505,-0.7188537169795305
Cell5,-0.09941910241232169,-0.12084711014237504,-0.12391266755972787,0.060489134923889604,0.29510260219580725,-0.10707339250123836,0.2172486531390484,1.0,-0.10211312615487035,0.32393254849839637,-0.09829611690001716
Cell6,0.793158374619718,0.7952863919352465,0.7902370834512071,-0.5779285130550876,-0.526201834574924,0.7742520477445187,-0.6149617828379489,-0.10211312615487035,1.0,-0.25123031327645917,0.7784711424875715
Cell7,-0.17574858572681737,-0.1957985870862765,-0.18656425988731404,0.06413339662492198,0.2211235158652245,-0.1209835143127548,0.2869358085359505,0.32393254849839637,-0.25123031327645917,1.0,-0.15666078247511286
Cell8,0.95724952209698,0.9460964773885219,0.9313686359274722,-0.746936298838962,-0.5793791150851252,0.900134503920843,-0.7188537169795305,-0.09829611690001716,0.7784711424875715,-0.15666078247511286,1.0
