,Cell1,Cell2,Cell3,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8
Cell1,1,0.922759748,0.919531398,0.7294408,0.609057265,0.91762004,0.733977324,0.099419102,0.793158375,0.175748586,0.957249522
Cell2,0.922759748,1,0.981168697,0.832113612,0.571889516,0.920581335,0.716914549,0.12084711,0.795286392,0.195798587,0.946096477
Cell3,0.919531398,0.981168697,1,0.825674451,0.591745962,0.928779001,0.739690779,0.123912668,0.790237083,0.18656426,0.931368636
Cell1,0.7294408,0.832113612,0.825674451,1,0.422834861,0.823241144,0.62434605,0.060489135,0.577928513,0.064133397,0.746936299
Cell2,0.609057265,0.571889516,0.591745962,0.422834861,1,0.660328252,0.853611625,0.295102602,0.526201835,0.221123516,0.579379115
Cell3,0.91762004,0.920581335,0.928779001,0.823241144,0.660328252,1,0.761751155,0.107073393,0.774252048,0.120983514,0.900134504
Cell4,0.733977324,0.716914549,0.739690779,0.62434605,0.853611625,0.761751155,1,0.217248653,0.614961783,0.286935809,0.718853717
Cell5,0.099419102,0.12084711,0.123912668,0.060489135,0.295102602,0.107073393,0.217248653,1,0.102113126,0.323932548,0.098296117
Cell6,0.793158375,0.795286392,0.790237083,0.577928513,0.526201835,0.774252048,0.614961783,0.102113126,1,0.251230313,0.778471142
Cell7,0.175748586,0.195798587,0.18656426,0.064133397,0.221123516,0.120983514,0.286935809,0.323932548,0.251230313,1,0.156660782
Cell8,0.957249522,0.946096477,0.931368636,0.746936299,0.579379115,0.900134504,0.718853717,0.098296117,0.778471142,0.156660782,1
