Cell,DutyCycle,RawNorm_AvgAmplitude,FoldChange_AvgAmplitude,RawNorm_PeakAmplitude,FoldChange_PeakAmplitude,NumOscillations
Beta_Cell1,0.0,329.5529529765781,1.052683721433116,2175.37111334002,1.3477639775753971,6
Beta_Cell2,0.4117647058823529,3039.550176768745,1.4811812495270151,8395.17089065889,2.329012052518392,15
Beta_Cell3,0.4411764705882353,4021.88435358505,1.375705597011533,9948.9788897576,1.9293870048997357,14
Beta_Cell4,0.4852941176470588,3921.7216957912856,1.5619801001561109,9973.389121338942,2.4291800010492666,16
Beta_Cell5,0.0,56.057324106113064,1.0089715135979391,100.21176470588034,1.0160380686033184,14
Beta_Cell6,0.45588235294117646,7319.05319285742,1.6216678453387179,19123.699562773298,2.6243342941811374,12
Beta_Cell7,0.0,352.88847216738657,1.0566351779158236,1787.3590604026804,1.2868537976421919,7
Beta_Cell8,0.4411764705882353,1486.881209727708,1.2382904763930422,5311.47349823318,1.8512270798517831,10
Beta_Cell9,0.35294117647058826,3114.272468714453,1.4963981179472676,9322.30944254836,2.4859254958231936,8
Beta_Cell10,0.0,1419.4773328223719,1.1708004596294155,2818.6866449511,1.3391621432599425,14
Beta_Cell11,0.4264705882352941,4266.792282315784,1.4212864948813044,9682.290679304899,1.9559917691827293,14
Beta_Cell12,0.4852941176470588,4996.298860670556,1.7652367829223563,11108.91126279864,2.7014489632377674,9
Beta_Cell13,0.0,148.25018544618456,1.0239260799860517,1933.4161412358098,1.3120338035484196,1
Beta_Cell14,0.0,6432.141162212796,1.2377834544383883,11622.820290858705,1.4296725288482628,12
Beta_Cell15,0.0,4716.828190583355,1.1243389644571715,7262.408996897604,1.1914422950450982,2
Beta_Cell16,0.36764705882352944,4954.79314021682,1.547108414427317,14362.46450151057,2.5859037821195945,2
Beta_Cell17,0.4852941176470588,1190.8478485838743,1.191483998003532,3845.6888888889,1.6183727706254842,6
Beta_Cell18,0.5441176470588235,7407.394512195175,1.7168131039712817,18446.0317073171,2.785021335410987,5
Beta_Cell19,0.35294117647058826,3598.7022882682477,1.436349046814739,10357.38725490201,2.255851608203589,11
Beta_Cell20,0.25,544.0235240348421,1.0855492328238836,3322.85191956124,1.5225278318803492,8
Beta_Cell21,0.25,388.0774116215809,1.062162976380953,2548.50486618005,1.4082243466351865,4
Beta_Cell22,0.4264705882352941,6657.244365600933,1.7791239831647319,16156.02535983548,2.8908043837938924,7
Beta_Cell23,0.4852941176470588,4676.0537293348325,1.4356083190450972,9565.6013071895,1.8911051384931663,13
Beta_Cell24,0.4264705882352941,1447.6790068523615,1.2266692146960447,5071.8940998486805,1.7941278744753169,13
Beta_Cell25,0.25,565.6473799126675,1.0902688030606864,3867.13318777292,1.617136216896142,4
Beta_Cell26,0.5147058823529411,3272.7589577137837,1.4301845896565517,6604.508014796549,1.8681230750380027,13
Beta_Cell27,0.5588235294117647,5438.555391684137,1.4954796662460879,11392.270009643198,2.0378929211228227,12
Delta_Cell1,0.0,2605.1790317250584,1.1643288156487592,5179.969101123601,1.3267407641159934,1
Delta_Cell2,0.39705882352941174,2334.7455491399055,1.3676909108482809,5261.740286298559,1.8286530749481154,17
Delta_Cell3,0.0,59.58949960074886,1.0094924705969703,105.28733031674983,1.016772030206018,14
