Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell23,Cell24,Cell25,Cell26,Cell27
8403.66499498495,12667.0506879073,17737.8764659891,12521.6192468619,6299.10196078431,27241.5952529669,8018.26510067114,10926.1272084806,15596.0489192264,10073.7035830619,18391.7266982622,17638,8129.59142496847,30268.3784626039,38696.17114788,23418.7922960725,9700.93888888889,28779.8195121951,18428.0777310924,9682.03839122486,8538.77372262774,24700.5503769705,19462.2156862745,10695.4568835098,10133.3886462882,13694.0727496917,21707.0858244937
8405.06820461384,12590.4105720492,17255.9077404222,11440.6736401674,6284.09803921569,25559.0493441599,7591.51342281879,10585.0424028269,14743.3367463026,9750.87361563518,17378.6334913112,17121.0533276451,7692.90542244641,29525.2877423823,37935.2378490176,23022.08081571,9434.99259259259,27460.1231707317,18277.9782913165,9451.79524680073,8381.05596107056,23165.6387936943,18639.2078431373,10205.4281391831,9909.14410480349,13265.1948212084,20733.3809064609
8169.76228686058,11957.0202751629,15954.8162627052,10576.1694560669,6287.52156862745,24103.7551530294,7528.11744966443,9681.29681978799,14208.2798634812,9659.17524429967,16798.5434439178,16690.6416382253,7712.16015132409,30697.7354570637,38616.3391933816,22205.6419939577,9337.83148148148,26652.8402439024,17490.6120448179,8913.77696526508,8333.19464720195,22548.2727895819,18165.568627451,9685.46142208775,9476.8864628821,12908.0665844636,19349.1947926712
7618.87963891675,12999.7516292542,18489.7474589523,14720.6443514644,6287.73137254902,29004.9100562149,7506.18791946309,10459.4522968198,14931.2495259765,10724.1244299674,18992.1816745656,15849.508105802,6324.90920554855,31042.2202216066,38805.6845915202,22230.3972809668,8508.92407407407,24661.1256097561,17140.5525210084,8632.58683729433,7488.7201946472,22923.5003427005,18706.4274509804,10993.8789712557,9136.14410480349,13416.3316892725,22100.9016393443
7825.25777331996,13239.3946415641,18489.4081313526,13538.3828451883,6297.32352941176,27465.2648344785,7648.68120805369,10292.6219081272,14692.1224876754,10015.867752443,19502.8988941548,16898.8383105802,6582.56935687264,33633.0065789474,39102.5455015512,23030.8708459215,9596.68518518518,27608.6890243902,18604.6890756303,9337.65447897623,8390.17396593674,24240.8094585332,19153.6339869281,10766.5582450832,9182.57205240175,13286.5030826141,21365.2555448409
8430.68004012036,12964.1368573497,17490.1430805317,11601.3974895397,6306.99411764706,25809.322923173,7610.09731543624,10388.1060070671,14661.1437239287,9394.80195439739,18152.7061611374,16574.3310580205,7365.80706179067,35499.6281163435,40392.6732161324,21957.5196374622,10064.7351851852,27134.4695121951,17468.7605042017,8752.03290676417,8791.40754257908,21856.3584647019,17890.0352941176,9880.99092284418,9953.36244541485,13700.1479654747,19760.4522661524
6290.51354062187,9298.77118030413,14103.6708365911,10630.3472803347,6306.6431372549,21686.5359150531,6437.29530201342,8009.02473498233,11328.1547212742,9993.28143322476,16276.532385466,13049.6373720137,6253.59457755359,33605.8649584488,41472.145811789,20754.5558912387,7807.66851851852,21697.9792682927,15038.4152661064,7429.72029250457,6309.24209245742,20851.1062371487,15694.8392156863,8394.61119515885,6333.62227074236,10680.2022194821,19335.9132111861
6674.41825476429,11470.2505430847,16410.7724784988,13515.7468619247,6287.60784313726,24724.5708931918,6954.96644295302,9126.66431095406,13266.8464163823,10614.1250814332,17796.9289099526,15178.9116894198,6236.18095838588,35124.3168282549,41353.069803516,20852.920694864,8823.47407407407,24868.8634146341,16285.1911764706,8234.61060329068,7377.94282238443,22536.0904729267,18818.6156862745,10096.1028744327,7947.28602620087,12404.65351418,21418.1697203472
8147.21765295888,14712.0217233888,20569.9929632525,15936.0209205021,6292.83333333333,30896.9531542786,7915.47315436242,10911.0848056537,15415.4740235116,10718.7328990228,18937.5402843602,16581.0187713311,6255.52269861286,35448.6831717451,41286.7580144778,20428.9003021148,9196.9037037037,26825.7609756098,17206.4740896359,8808.77513711152,8171.49635036496,23298.3687457162,20300.1385620915,11458.6414523449,9470.79912663755,14212.3094944513,22368.6142719383
6913.61685055166,10754.5792903693,15865.1618451916,10619.949790795,6269.88431372549,23158.0168644597,6846.75838926174,8907.08833922262,12006.6814562002,9346.80977198697,15204.9020537125,13930.6885665529,6228.4527112232,35921.1575484765,40830.4477766287,18500.6820241692,7307.94814814815,21217.8634146341,13607.1841736695,6970.80073126143,7489.40267639903,19318.4222069911,15403.3568627451,8741.38880484115,8511.34497816594,12540.4056720099,18736.5486981678
