Cell,DutyCycle
Beta_Cell1,0.4264705882352941
Beta_Cell2,0.47058823529411764
Beta_Cell3,0.4852941176470588
Beta_Cell4,0.4264705882352941
Beta_Cell5,0.5147058823529411
Beta_Cell6,0.5441176470588235
Beta_Cell7,0.4852941176470588
Beta_Cell8,0.5441176470588235
Beta_Cell9,0.4411764705882353
Beta_Cell10,0.4411764705882353
Beta_Cell11,0.5735294117647058
Beta_Cell12,0.5
Beta_Cell13,0.4117647058823529
Beta_Cell14,0.5441176470588235
Beta_Cell15,0.5294117647058824
Beta_Cell16,0.5735294117647058
Beta_Cell17,0.5
Beta_Cell18,0.47058823529411764
Beta_Cell19,0.5294117647058824
Beta_Cell20,0.47058823529411764
Beta_Cell21,0.45588235294117646
Beta_Cell22,0.5147058823529411
Beta_Cell23,0.5
Beta_Cell24,0.4852941176470588
Beta_Cell25,0.45588235294117646
Beta_Cell26,0.4852941176470588
Beta_Cell27,0.5
Delta_Cell1,0.4852941176470588
Delta_Cell2,0.38235294117647056
Delta_Cell3,0.5441176470588235
