Cell,DutyCycle,Duty Cycle OnOff,RawNorm_AvgAmplitude,FoldChange_AvgAmplitude,RawNorm_PeakAmplitude,FoldChange_PeakAmplitude,DominantFrequency,FrequencyAmplitude
Beta_Cell1,0,0,329.552953,1.052683721,2175.371113,1.347763978,0.014705882,424.9228561
Beta_Cell2,0.411764706,1,3039.550177,1.48118125,8395.170891,2.329012053,0.014705882,1734.97169
Beta_Cell3,0.441176471,1,4021.884354,1.375705597,9948.97889,1.929387005,0.014705882,1253.014861
Beta_Cell4,0.485294118,1,3921.721696,1.5619801,9973.389121,2.429180001,0.014705882,1195.155838
Beta_Cell5,0,0,56.05732411,1.008971514,100.2117647,1.016038069,0.014705882,18.55769242
Beta_Cell6,0.455882353,1,7319.053193,1.621667845,19123.69956,2.624334294,0.014705882,5031.867928
Beta_Cell7,0,0,352.8884722,1.056635178,1787.35906,1.286853798,0.014705882,384.9125512
Beta_Cell8,0.441176471,1,1486.88121,1.238290476,5311.473498,1.85122708,0.014705882,1315.678575
Beta_Cell9,0.352941176,1,3114.272469,1.496398118,9322.309443,2.485925496,0.014705882,2390.483671
Beta_Cell10,0,0,1419.477333,1.17080046,2818.686645,1.339162143,0.014705882,625.7199806
Beta_Cell11,0,0,4266.792282,1.421286495,9682.290679,1.955991769,0.014705882,1871.81675
Beta_Cell12,0.485294118,1,4996.298861,1.765236783,11108.91126,2.701448963,0.014705882,2476.149853
Beta_Cell13,0,0,148.2501854,1.02392608,1933.416141,1.312033804,0.029411765,182.1449496
Beta_Cell14,0,0,6432.141162,1.237783454,11622.82029,1.429672529,0.014705882,3571.882238
Beta_Cell15,0,0,4716.828191,1.124338964,7262.408997,1.191442295,0.014705882,1659.570852
Beta_Cell16,0.367647059,1,4954.79314,1.547108414,14362.4645,2.585903782,0.014705882,5075.776537
Beta_Cell17,0,0,1190.847849,1.191483998,3845.688889,1.618372771,0.014705882,917.642111
Beta_Cell18,0.544117647,1,7407.394512,1.716813104,18446.03171,2.785021335,0.014705882,5534.907633
Beta_Cell19,0.352941176,1,3598.702288,1.436349047,10357.38725,2.255851608,0.014705882,2577.996749
Beta_Cell20,0.25,1,544.023524,1.085549233,3322.85192,1.522527832,0.014705882,636.7327223
Beta_Cell21,0,0,388.0774116,1.062162976,2548.504866,1.408224347,0.014705882,554.4124099
Beta_Cell22,0.426470588,1,6657.244366,1.779123983,16156.02536,2.890804384,0.014705882,3600.832254
Beta_Cell23,0,0,4676.053729,1.435608319,9565.601307,1.891105138,0.014705882,1317.568723
Beta_Cell24,0.426470588,1,1447.679007,1.226669215,5071.8941,1.794127874,0.014705882,1166.921657
Beta_Cell25,0.25,1,565.6473799,1.090268803,3867.133188,1.617136217,0.014705882,889.4772717
Beta_Cell26,0,0,3272.758958,1.43018459,6604.508015,1.868123075,0.014705882,1534.979003
Beta_Cell27,0,0,5438.555392,1.495479666,11392.27001,2.037892921,0.014705882,2706.39521
Delta_Cell1,0,0,2605.179032,1.164328816,5179.969101,1.326740764,0.014705882,2157.575094
Delta_Cell2,0,0,2334.745549,1.367690911,5261.740286,1.828653075,0.014705882,960.5778571
Delta_Cell3,0,0,59.5894996,1.009492471,105.2873303,1.01677203,0.014705882,29.04217263
