Cell1,Cell2,Cell3
20673.1966292135,7925.56850715746,6307.37556561086
20623.8188202247,7263.63803680982,6309.75339366516
21033.4213483146,9839.61145194274,6293.12669683258
20582.1882022472,8506.50920245399,6312.407239819
21001.2078651685,10170.9897750511,6315.36877828054
20951.5379213483,9389.29038854806,6297.16742081448
20848.3904494382,9095.47239263804,6327.30316742081
20827.7935393258,8445.35173824131,6315.04977375566
20531.8721910112,7864.0490797546,6344.22624434389
20134.0674157303,6699.37627811861,6306.65610859729
20737.6460674157,9126.22699386503,6312.39592760181
20721.9241573034,9570.9100204499,6305.96153846154
20521.3581460674,8724.24335378323,6337.3778280543
20134.2766853933,8053.93660531697,6326.18325791855
20187.1193820225,8163.85071574642,6294.05429864253
20273.0224719101,9593.16155419223,6336.54751131222
19761.9578651685,7027.75051124744,6304.39366515837
20072.7457865169,7673.75051124744,6300.68325791855
20451.2907303371,10491.3169734151,6312.6334841629
20716.7219101124,11259.3558282209,6310.60633484163
20538.7514044944,10125.3865030675,6299.7556561086
20079.1980337079,9848.62576687117,6277.55429864253
20156.5280898876,10288.6482617587,6293.28959276018
19930.9283707865,9209.65848670757,6301.87104072398
19877.1348314607,11150.0777096115,6337.03393665158
19385.3117977528,8449.61963190184,6349.56108597285
19553.4030898876,11611.490797546,6332.54298642534
19271.1699438202,11338.6012269939,6333.45475113122
19102.2738764045,10846.0674846626,6330.16515837104
18578.1348314607,9339.21676891616,6346.16968325792
18921.6460674157,11382.7750511247,6327.99547511312
18714.5280898876,10865.8670756646,6333.55429864253
18111.6320224719,7721.50306748466,6337.57466063348
18151.3806179775,7903.80981595092,6336.16063348416
18198.6123595506,8925.75255623722,6358.94570135747
18071.768258427,9029.54805725971,6348.20135746606
17737.9887640449,8337.55214723926,6360.76244343891
17570.3609550562,7858.47034764826,6377.03846153846
17739.3412921348,7892.97955010225,6351.86425339367
17829.6643258427,7259.63394683027,6367.87330316742
17847.6334269663,7529.40695296524,6358.82805429864
17876.625,7922.03885480573,6365.16515837104
18322.7233146067,10905.6339468303,6366.592760181
17946.4508426966,8974.28834355828,6350.77601809955
17652.7219101124,7795.0490797546,6382.84162895928
17005.7668539326,6366.35378323108,6326.55656108597
17454.0463483146,9035.0081799591,6371.11538461538
16881.1502808989,7110.55828220859,6374.6628959276
16724.0730337079,8562.33537832311,6378.42081447964
16071.1488764045,6520.8200408998,6373.80542986425
15913.5098314607,6349.75051124744,6356.33031674208
16365.375,7254.17791411043,6381.69230769231
16500.5196629213,7972.76278118609,6360.20588235294
16713.7359550562,9151.14314928425,6364.52036199095
16488.7008426966,7802.01022494888,6340.89819004525
16447.4002808989,8240.35378323108,6366.70588235294
16441.0912921348,8116.0245398773,6355.22171945701
15863.7275280899,6483.64008179959,6344.84389140271
16198.6193820225,8474.59509202454,6330.50452488688
15853.452247191,7308.55010224949,6318.83936651584
16243.481741573,8627.76073619632,6343.77375565611
16046.3216292135,7859.0327198364,6362.47285067873
16272.7275280899,7828.19427402863,6339.47058823529
16423.6025280899,8774.1308793456,6367.37104072398
16603.404494382,9869.15950920245,6356.81447963801
16064.2570224719,7572.12065439673,6370.82352941176
16402.4255617978,9456.52760736196,6310.06561085973
16256.9199438202,8414.66053169734,6335.81900452489
