Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14
18727.2542936288,17631.6050420168,12216.1454272864,23104.3896583564,9679.54744525547,16174.0539447067,13847.8,6703.74776119403,6794.09499718943,29136.5,6839.37467700258,7701.05760869565,15124.5287421742,13139.9859055673
18130.0664819945,18186.7338935574,12686.3373313343,22824.2400738689,9825.47566909976,14958.9487525287,12702.320754717,6692.04179104478,6764.98032602586,30753.9545454545,13090.6976744186,7087.21304347826,14991.046670461,13263.6575052854
18948.3213296399,17785.8571428571,12626.832083958,22357.9879963066,9608.04866180049,15557.8772757923,13155.8490566038,6702.58805970149,6780.92299044407,28531.664983165,13356.1757105943,7454.41630434783,14511.1149686966,13291.3136011276
17129.0542936288,17113.2745098039,11537.5442278861,21330.593721145,8206.76399026764,14558.724881996,11197.0226415094,6691.63731343284,6781.38729623384,26564.4107744108,7163.31782945736,7913.63043478261,14388.8212862834,12989.7667371388
17148.291966759,16785.7731092437,11702.820089955,21553.9972299169,8035.19221411192,14750.5981119353,11803.2641509434,6688.86567164179,6810.29679595278,24283.2441077441,6617.42635658915,7794.74456521739,14855.8087649402,12846.4397463002
18069.4288088643,17127.5042016807,12470.4962518741,21923.8125577101,8317.82603406326,15504.749157114,11457.6,6645.8671641791,6754.30522765599,25755.4478114478,6657.37467700258,7857.01195652174,14550.56232214,12713.9217758985
18572.3135734072,17175.6806722689,12911.1769115442,21467.3684210526,8813.400243309,14608.0168577208,11513.2867924528,6702.25820895522,6787.7616638561,26942.303030303,7010.17829457364,8165.95217391304,14743.5771200911,12991.7399577167
18881.6731301939,17347.6694677871,13496.335832084,22738.972299169,8848.27250608273,14484.7383681726,12497.5396226415,6651.63134328358,6758.09162450815,25287.0084175084,11016.5400516796,7635.36195652174,15586.5816733068,12969.1106412967
18575.172299169,17439.7226890756,13616.4482758621,22280.1228070175,8920.21897810219,14968.0748482805,11483.9622641509,6672.94626865672,7136.99887577291,25754.1212121212,9631.76744186047,8666.02173913043,15629.750142288,13166.7477096547
20512.9457063712,18173.9383753501,16299.5442278861,24768.4773776547,10090.5693430657,16655.0188806473,12885.358490566,6672.68358208955,7457.6514896009,27882.6094276094,12176.2713178295,7525.43804347826,15571.0256118384,13045.1205073996
