Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9
9830.26391982183,7435.01022494888,13582.2234891676,6455.87174348697,6418.59787234043,16692.6545105566,11823.4983860555,18726.0593869732,6527.80158730159
9671.66035634744,6356.56032719836,13256.3956670468,6439.95591182365,6404.04680851064,16843.5556621881,12175.7288573273,17923.2183908046,6517.58994708995
9678.86191536748,6355.06748466258,13251.0809578107,6459.88376753507,6418.37517730496,16851.6429942418,12533.0348612008,17794.1197318008,6534.92857142857
9950.18040089087,7226.44580777096,13799.8380843786,6448.15230460922,6400.15744680851,16482.0671785029,12282.1594577147,18815.0086206897,6552.78042328042
9954.97550111359,7464.41513292434,14035.6784492588,6474.82164328657,6410.67375886525,16278.084452975,12101.3692704971,19213.3975095785,7315.11375661376
9886.59688195991,6629.85889570552,13758.8038768529,6426.63126252505,6363.42553191489,16163.5911708253,12017.9728857327,18903.780651341,6957.05291005291
9589.45100222717,6330.70756646217,13470.062713797,6483.36673346693,6428.67163120567,16454.7159309021,12431.6649451259,17813.5909961686,6554.37301587302
9714.58017817372,6332.98977505112,13845.0820980616,6444.45290581162,6385.3609929078,16423.6833013436,12369.9018721756,18159.5019157088,6523.79894179894
10092.771714922,6355.23108384458,14145.4732041049,6453.07615230461,6411.03404255319,16680.9203454894,12335.2911555842,18377.7375478927,7171.89417989418
10278.3585746102,6337.86707566462,14228.1904218928,6460.55711422846,6411.15815602837,16472.1276391555,12352.1123305358,18223.2011494253,7474.50793650794
10422.6636971047,6341.25971370143,14337.0798175599,6446.76352705411,6394.79361702128,16576.1285988484,12602.1129761136,18335.80651341,8303.30158730159
10449.4766146993,6342.34151329243,14252.9007981756,6433.92184368737,6390.50921985816,16636.396353167,12184.3337637185,17760.1216475096,7482.89153439153
10519.3218262806,6893.18404907975,14501.5233751425,6416.75751503006,6402.42553191489,16780.1785028791,11954.1407359587,18442.1130268199,8564.16666666667
10599.3106904232,7922.32924335378,14896.4059293044,6480.92184368737,6416.21914893617,16781.207293666,12077.4092963202,19049.9415708812,9027.40476190476
10417.793986637,7743.16768916155,14575.8905359179,6455.57314629259,6407.43546099291,16329.7399232246,11836.1872175597,18515.6647509579,8502.11375661376
10416.1603563474,7139.72597137014,13908.2919042189,6422.15831663327,6397.45177304965,16145.0777351248,11811.4351194319,18239.1034482759,8116.38888888889
10345.7583518931,7834.94887525562,14049.6248574686,6441.13627254509,6382.4865248227,15618.2130518234,11951.5752098128,18528.8409961686,8492.01322751323
9991.27171492205,7019.06952965235,13591.0820980616,6416.49699398798,6389.63262411347,15557.2216890595,11492.4654615881,18235.2672413793,7533.54232804233
9642.70267260579,6930.51329243354,13745.5895096921,6428.13627254509,6407.40212765957,15488.2802303263,11429.4402840542,17979.8965517241,7951.87301587302
9259.59799554566,6333.45807770961,13734.7354618016,6434.82965931864,6393.71985815603,15190.9740882917,11217.6249193028,17452.0344827586,7526.80687830688
9326.36080178174,6862.47034764826,13693.8209806157,6413.55511022044,6380.64326241135,15102.5527831094,11027.4396384764,17425.2490421456,7798.78042328042
9437.3140311804,6861.26584867076,13800.1949828962,6424.26452905812,6386.08865248227,15118.3502879079,11025.7953518399,17348.9865900383,7842.81216931217
9475.43875278396,6546.65644171779,13485.677309008,6407.92585170341,6362.28156028369,15041.8080614203,11090.3783085862,17333.1609195402,8165.85978835979
9468.18819599109,7381.93865030675,13831.7217787913,6403.68136272545,6371.21134751773,15104.4213051823,11156.7934151065,17364.0670498084,8884.39417989418
9460.43207126949,8171.12883435583,14134.9680729761,6422.37675350701,6378.02765957447,15160.5623800384,11139.9948353777,17079.3687739464,9003.71957671958
9523.77951002227,8637.31901840491,13963.472063854,6429.82565130261,6402.99858156028,15153.7811900192,10982.2989025178,16986.1992337165,9659.2328042328
9617.38864142539,8314.91615541922,13600.6385404789,6428.28056112224,6376.55460992908,14943.8618042226,10982.6307295029,16624.9195402299,9158.9126984127
9514.73608017817,7011.50920245399,12873.9201824401,6392.33466933868,6374.00283687943,14669.6084452975,10735.2169141382,16319.8649425287,8865.99735449735
9495.02338530067,7054.8200408998,13163.669327252,6444.80761523046,6411.60709219858,14745.9357005758,10790.5610071014,16505.9252873563,9483.42857142857
9449.79621380846,7629.80163599182,13172.3078677309,6415.50701402806,6398.9390070922,14638.7821497121,10674.3983214977,16454.9319923372,9915.30158730159
9359.35077951002,8590.89775051125,13498.4652223489,6444.14428857715,6429.40992907801,14748.5009596929,10692.7378954164,16505.8247126437,9914.1164021164
9453.46881959911,9343.54396728016,14040.6898517674,6412.0380761523,6377.84042553191,14924.2303262956,10986.5183989671,16698.4042145594,9801.25396825397
9616.85968819599,8377.74028629857,13822.645381984,6440.97394789579,6409.01843971631,14969.3848368522,11142.1316978696,16637.0277777778,9766.40211640212
9600.04120267261,9166.8118609407,14162.6761687571,6430.17434869739,6401.35602836879,15030.1170825336,11157.8469980633,16573.9904214559,9386.72751322751
9363.28062360802,10732.773006135,14769.4811858609,6433.86973947896,6415.36595744681,14930.5671785029,11039.1568754035,16708.6829501916,9016.79894179894
9366.00445434298,9450.39877300613,14209.8278221209,6426.18236472946,6409.56524822695,15043.3627639155,11145.8244028405,16696.3572796935,9023.31216931217
9296.88864142539,9041.81595092025,13749.9224629418,6422.7995991984,6425.22482269504,14882.3416506718,11116.9993544222,16549.4607279693,8709.76984126984
9352.66926503341,7802.28220858896,12913.2246294185,6446.90981963928,6441.9695035461,14246.1026871401,10560.226597805,16182.4281609195,8665.6164021164
9087.39309576837,9397.15950920245,13247.5176738883,6475.73346693387,6432.05319148936,14186.0278310941,10371.9961265332,16131.4090038314,8844.06613756614
8824.7995545657,9805.73210633947,13253.9657924743,6463.28056112224,6435.38865248227,14321.7591170825,10278.8192382182,15730.6331417625,8181.18518518519
8374.44988864143,10479.7341513292,13267.9680729761,6449.4368737475,6423.24964539007,14090.1833013436,10117.686249193,15338.4808429119,7638.0873015873
8616.63251670379,8311.38036809816,12403.69327252,6464.02404809619,6413.74397163121,13760.0518234165,9836.44867656553,15239.3074712644,7779.82804232804
8366.54677060134,9093.44785276074,12794.2964652223,6439.26653306613,6407.78865248227,13651.3483685221,9884.03227888961,14980.2078544061,7326.65079365079
8035.35968819599,10666.0081799591,13237.3295324971,6443.02004008016,6404.68085106383,13393.7005758157,9796.78566817302,14604.9760536398,7190.65608465608
8485.73162583519,8797.8527607362,12579.9429874572,6452.51903807615,6411.24964539007,13351.6314779271,9779.97740477728,14756.1829501916,7470.28835978836
8635.5556792873,8122.45603271984,12413.0205245154,6432.03006012024,6426.87021276596,13258.0038387716,9568.45513234345,14849.3084291188,7728.5873015873
8662.01670378619,8490.06134969325,12808.6750285063,6471.62324649299,6428.53475177305,13311.9424184261,9615.38153647514,14964.2346743295,7824.31481481481
8341.54231625835,8141.96523517382,12646.8415051311,6449.6873747495,6408.76453900709,13122.5825335893,9567.42543576501,14853.7318007663,7544.2671957672
8085.14587973274,8172.80572597137,12491.2371721779,6450.76553106212,6418.87446808511,12898.0441458733,9585.03034215623,14515.841954023,7174.26984126984
8217.21380846325,8559.45194274029,12587.1140250855,6430.84168336673,6425.89645390071,12905.3291746641,9573.00258231117,14430.1369731801,7097.19576719577
7844.89977728285,9596.94887525562,12412.0228050171,6446.35270541082,6404.39574468085,12980.7428023033,9523.63589412524,14109.1293103448,6735.56878306878
7701.25723830735,10514.7914110429,12736.3956670468,6432.77354709419,6425.94326241135,12958.2111324376,9527.50742414461,13842.4511494253,6512.2037037037
7971.53006681514,8900.98977505112,11966.4652223489,6434.68136272545,6426.91489361702,12835.0998080614,9558.7462879277,14080.2863984674,6576.61904761905
7885.32962138085,10351.4867075665,12466.6556442417,6455.53907815631,6408.18014184397,12849.9884836852,9579.85151710781,13953.2432950192,6528.0582010582
8249.76837416481,8114.12065439673,12181.8118586089,6434.69739478958,6392.55177304965,12676.4232245681,9345.34473854099,14188.4971264368,6499.8544973545
8340.17817371938,9322.28220858896,12764.9965792474,6467.57114228457,6403.09858156028,13042.9721689059,9388.02324080052,14113.4588122605,6519.07671957672
8353.13919821826,8827.57464212679,12515.6054732041,6432.53907815631,6417.62269503546,12591.1161228407,9155.26081342802,13993.0756704981,6529.3544973545
7927.20267260579,10619.6850715746,13034.3603192702,6418.48897795591,6400.05390070922,12642.5249520154,9214.2627501614,13765.5210727969,6515.28571428571
7936.37973273942,9876.24539877301,12615.7377423033,6434.26853707415,6429.90638297872,12347.9280230326,9109.35054874112,13756.561302682,6507.07671957672
7787.74610244989,9861.94069529652,12707.3557582668,6448.29258517034,6432.99078014184,12396.4798464491,9156.09360877986,13700.408045977,6514.16666666667
7609.48663697105,9733.37627811861,12569.6738882554,6451.25250501002,6413.47092198582,12320.6928982726,9070.29954809555,13252.0555555556,6542.42857142857
7630.09799554566,8473.0327198364,12245.3181299886,6451.99799599198,6421.53758865248,12042.8848368522,8947.32020658489,13294.1312260536,6560.62962962963
7405.82962138085,8123.18200408998,12060.2371721779,6437.30661322645,6410.39361702128,11766.6353166987,8770.06262104584,13129.6130268199,6541.39682539683
7245.35857461025,7127.39877300614,11508.4823261117,6451.85170340681,6409.87659574468,11543.8579654511,8601.78889606197,12925.8295019157,6563.06084656085
6736.80066815145,8299.22290388548,11655.8437856328,6430.32665330661,6421.90425531915,11571.0595009597,8534.01484828922,12532.3946360153,6528.4417989418
6548.21826280624,9360.97137014315,11945.7730900798,6410.61723446894,6384.61418439716,11615.9270633397,8485.63718528083,12391.280651341,6516.1455026455
6442.29732739421,9562.67075664622,11817.4743443558,6447.41883767535,6409.52340425532,11530.4184261036,8401.64299548096,12256.8994252874,6507.3835978836
6619.25723830735,9410.88957055215,11644.2554161916,6458.32264529058,6426.39787234043,11437.8253358925,8221.42285345384,12265.9204980843,6533.2962962963
6625.24276169265,9739.78936605317,11873.1174458381,6418.49498997996,6396.15177304965,11657.7178502879,8250.06778566817,12073.8189655172,6525.34656084656
6524.34187082405,9468.21063394683,11821.0387685291,6454.13426853707,6435.32836879433,11343.5969289827,8152.10845706908,12044.5067049808,6511.69312169312
6335.33741648107,9966.41308793456,11929.9384264538,6424.93987975952,6419.68581560284,11444.1209213052,8241.47320852163,12015.933908046,6480.52380952381
6313.26948775056,10264.8425357873,12081.6659064994,6418.78957915832,6406.73617021277,11019.2495201536,8176.40542285345,11605.8362068966,6464.93121693122
6333.1859688196,10041.4764826176,12170.7331812999,6451.71743486974,6422.55744680851,11009.2562380038,7976.6061975468,11580.6618773946,6534.00793650794
6326.0868596882,9508.56646216769,12022.7730900798,6424.78356713427,6398.59078014184,10833.1247600768,7939.23628147192,11625.8659003831,6483.66137566138
6319.5,7887.98159509202,11759.8301026226,6452.29659318637,6433.4170212766,10525.4193857965,7538.69786959329,12123.9310344828,6529.87566137566
6333.62360801782,8601.52965235174,12133.4652223489,6448.91382765531,6412.4475177305,10726.5479846449,7515.0490639122,11980.6896551724,6523.43650793651
6338.99443207127,8984.86707566462,12320.5324971494,6468.4368737475,6436.73191489362,10790.8253358925,7625.03938024532,12097.132183908,6555.5
6319.51224944321,8952.64212678937,12268.3090079818,6437.05210420842,6430.32269503546,10589.4289827255,7691.67656552615,12135.2049808429,6527.5
6338.8864142539,9041.85889570552,12414.015963512,6458.91583166333,6443.83475177305,10753.8944337812,7631.41639767592,12092.6963601533,6539.54497354497
6318.9008908686,9650.23108384458,12576.0330672748,6435.7875751503,6440.34964539007,10794.2015355086,7658.26856036152,12119.7011494253,6521.03968253968
6345.78841870824,9245.30674846626,12530.4047890536,6447.70340681363,6447.90354609929,10748.0998080614,7536.40735958683,12093.2825670498,6516.56613756614
6342.22048997773,8767.25562372188,12219.9771949829,6457.25450901804,6428.6,10501.8550863724,7412.98063266624,12020.9885057471,6530.88095238095
6329.45434298441,7998.70552147239,12208.0034207526,6444.27254509018,6414.95390070922,10466.9520153551,7332.32085216269,12195.3888888889,6524.56613756614
6314.86859688196,7677.03680981595,12102.1220068415,6426.06412825651,6401.32411347518,10214.5460652591,7216.15300193673,12029.3208812261,6525.66137566138
6354.11692650334,8398.69529652352,12284.1368301026,6448.99398797595,6423.29574468085,10192.8819577735,7157.15752098128,11728.1072796935,6545.40211640212
6343.61024498886,8188.98773006135,11918.0136830103,6443.56112224449,6417.12269503546,9809.53166986564,6954.49903163331,11272.785440613,6559.57671957672
6336.69042316258,7317.8691206544,11464.4036488027,6487.0120240481,6440.16595744681,9420.8330134357,6618.5242091672,11313.3390804598,6530.59259259259
6332.88530066815,8284.24948875256,11797.8198403649,6431.81563126253,6410.99716312057,9633.45585412668,6641.30277598451,11036.0268199234,6525.55555555556
6347.67037861915,7909.67280163599,11792.8335233751,6438.22845691383,6411.61276595745,9464.59500959693,6510.6720464816,11084.3438697318,6539.39417989418
6346.01559020045,8460.33537832311,11896.3078677309,6446.48496993988,6451.76382978723,9652.12188099808,6677.69205939316,10898.3888888889,6547.99735449735
6326.66258351893,8630.44376278119,11908.1094640821,6444.11823647295,6413.04326241135,9718.89443378119,6830.07165913493,10980.6331417625,6533.16137566138
6336.42204899777,7945.20040899795,11593.1014823261,6445.39278557114,6416.29645390071,9404.81190019194,6609.2375726275,10960.8975095785,6536.39682539683
6356.285077951,7402.46625766871,11323.7685290764,6444.36472945892,6448.09787234043,9274.55086372361,6517.25112976114,10898.3524904215,6567.02380952381
6357.19710467706,7994.82208588957,11493.7879133409,6479.69138276553,6453.19716312057,9317.18905950096,6681.71723692705,10687.8352490421,6558.04761904762
6365.36859688196,6841.84253578732,11007.8643101482,6510.97795591182,6470.44468085106,8779.96065259117,6546.15687540349,10808.6283524904,6587.05026455026
6367.76614699332,7272.51533742331,11097.8802736602,6489.22044088176,6459.02269503546,8898.03646833013,6534.11749515817,10564.3869731801,6570.32275132275
6342.58017817372,7003.28629856851,11188.7696693273,6445.92384769539,6433.93546099291,8909.38387715931,6504.15881213686,10635.8860153257,6558.66666666667
