Cell,DutyCycle,Duty Cycle OnOff,RawNorm_AvgAmplitude,FoldChange_AvgAmplitude,RawNorm_PeakAmplitude,FoldChange_PeakAmplitude,DominantFrequency,FrequencyAmplitude
Beta_Cell1,0.427083333,1,4876.810682,1.512411644,10995.57673,2.155316849,0.010416667,3441.838565
Beta_Cell2,0.520833333,1,5217.489496,1.799557584,11661.26331,2.787037907,0.010416667,4368.398788
Beta_Cell3,0,0,2694.929051,1.23529446,5906.922039,1.515733812,0.010416667,1684.136163
Beta_Cell4,0.520833333,1,7874.182181,1.812749434,15080.15051,2.556527841,0.010416667,5354.23223
Beta_Cell5,0.395833333,1,997.976252,1.155868933,4827.615572,1.754001196,0.010416667,1507.17405
Beta_Cell6,0.5,1,4439.333713,1.692351672,10243.05529,2.597491183,0.010416667,3137.436767
Beta_Cell7,0,0,3252.52952,1.457633805,6740.524528,1.948397815,0.010416667,1439.072601
Beta_Cell8,0,0,49.40873981,1.007465584,96.54925373,1.014588443,0.020618557,13.45692868
Beta_Cell9,0,0,1419.720288,1.210194867,3375.06914,1.499691534,0.010309278,1501.940704
Beta_Cell10,0.385416667,1,6323.683396,1.953583868,24122.46296,4.637562178,0.010416667,7965.351658
Beta_Cell11,0.479166667,1,1093.294654,1.166239919,6917.935401,2.051900342,0.010416667,1148.013885
Beta_Cell12,0,0,278.5860847,1.042092567,2047.606522,1.309380185,0.010416667,368.701625
Beta_Cell13,0,0,4321.089161,1.604009554,8812.186682,2.23178318,0.010416667,2645.32744
Beta_Cell14,0,0,3134.055608,1.419738362,5930.459479,1.794255642,0.010309278,1933.97298
Delta_Cell1,0,0,1863.312252,1.295142201,4286.041203,1.678894068,0.010309278,1836.933651
Delta_Cell2,0,0,1977.170852,1.312314355,4402.06544,1.695351253,0.010309278,1287.860076
Delta_Cell3,0,0,1833.703746,1.166581245,3888.541619,1.353251231,0.010309278,1058.948067
Delta_Cell4,0,0,50.50023759,1.007900124,118.6432866,1.018560243,0.020618557,12.58836053
Delta_Cell5,0,0,50.91519339,1.008002663,108.1631206,1.017000681,0.010309278,13.30262373
Delta_Cell6,0,0,4356.093041,1.496140383,8071.682342,1.919330127,0.010309278,2669.424498
Delta_Cell7,0,0,3080.049237,1.473550743,6097.954164,1.937546936,0.010309278,2069.237373
Delta_Cell8,0,0,4127.706166,1.390718948,8649.010536,1.818694976,0.010309278,3132.242453
Delta_Cell9,0,0,871.9362898,1.134871704,3450.37037,1.533705658,0.010309278,1272.544204
