,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9
Cell1,1.0,0.9740891061671018,0.6040432704114106,0.9649130481432019,0.8636962837570686,0.96269537964529,0.8959472562353202,0.06992499603539094,0.4094138470517424,0.8994101908209388,0.5293596343979329,0.6216419179595506,0.9677056757296156,0.9697576023672826,0.9568221496654719,-0.45115910092498723,0.9108549611037303,-0.19005367839200918,-0.5266561627141956,0.9686938812583121,0.9652215726843592,0.9678229340364625,0.588055284058989
Cell2,0.9740891061671018,1.0,0.5324940829585587,0.9728174846490083,0.8333038771706338,0.9777410068524632,0.8940648012432548,0.12291489112351837,0.4016049014012223,0.920512945570967,0.5247457942850043,0.6377301740420507,0.9755034293257974,0.9836598537864373,0.9753782165560969,-0.46898687842308434,0.8869669713916659,-0.16334961628792802,-0.511846158892176,0.9853340968622352,0.9825208518872492,0.9825650795055467,0.5726722617228426
Cell3,0.6040432704114106,0.5324940829585587,1.0,0.6667789221341123,0.354331040328651,0.5350180564859669,0.579429476313044,-0.11533674977328807,0.8399987544585777,0.2688377019007656,0.34460461504269874,-0.030152289048891216,0.5552870836885865,0.5650247327892153,0.6094336327473946,0.05265246354383105,0.6109095807898356,-0.33421502934174974,-0.3485008207299683,0.5583622751317828,0.5609456733184742,0.5434219526573861,0.7355380787536326
Cell4,0.9649130481432019,0.9728174846490083,0.6667789221341123,1.0,0.7983697134211706,0.9674772182104143,0.9122260503657363,0.06423570826766853,0.5432119361308319,0.8447805001304038,0.5228572690193948,0.5375806601887266,0.9649819397651401,0.9804524333581219,0.9785958210584934,-0.36254623839059147,0.9111401152687201,-0.24163340986185194,-0.5377879439842163,0.9797933204315189,0.9774082999687491,0.9736058064317761,0.6797615123612837
Cell5,0.8636962837570686,0.8333038771706338,0.354331040328651,0.7983697134211706,1.0,0.8288003590521014,0.7678285551421933,0.05704691143900677,0.10678193984512893,0.8926616177295186,0.4892093889641665,0.6355932297390222,0.8205709194988307,0.8207784574684657,0.8156768954134221,-0.630648938488522,0.7807510120344497,-0.1632091056180412,-0.45924110464908746,0.8132124366826042,0.7970905617198305,0.8292139211861516,0.47809206534986626
Cell6,0.96269537964529,0.9777410068524632,0.5350180564859669,0.9674772182104143,0.8288003590521014,1.0,0.9268989235415048,0.09574340917855663,0.37561229428478493,0.9134623608397936,0.5319923698016175,0.6239846372580372,0.968765212151672,0.9804342961142849,0.9539865511762522,-0.43202113420093785,0.8849833014645416,-0.18588330941101036,-0.5274507857473884,0.9808236051977074,0.977782563312304,0.9696201222549138,0.5483556111214984
Cell7,0.8959472562353202,0.8940648012432548,0.579429476313044,0.9122260503657363,0.7678285551421933,0.9268989235415048,1.0,0.15597197219555753,0.38738191020706136,0.8161729253185136,0.5068336614218962,0.5378392557313166,0.8970463017874102,0.9126570091800799,0.8757969145849276,-0.326415787720058,0.8194723330838092,-0.17572678084597992,-0.41271455258058615,0.907264879656756,0.9044059882921083,0.8833766375762467,0.5263043909704623
Cell8,0.06992499603539094,0.12291489112351837,-0.11533674977328807,0.06423570826766853,0.05704691143900677,0.09574340917855663,0.15597197219555753,1.0,-0.08813800325083779,0.16321074695643822,0.07021000846669051,0.18829382454121504,0.08952129567444156,0.04807535151084498,0.06520803990752713,-0.0484367862289997,0.022107262584433147,0.6225936928900815,0.6716756678293451,0.05114582881009659,0.0476723967310238,0.059945170302986905,-0.0592181843923117
Cell9,0.4094138470517424,0.4016049014012223,0.8399987544585777,0.5432119361308319,0.10678193984512893,0.37561229428478493,0.38738191020706136,-0.08813800325083779,1.0,0.06247134250198014,0.20701975029109068,-0.20678867039605311,0.3928048691974333,0.44270361623928817,0.5148596254221349,0.2975534154148062,0.4794864316187185,-0.3312450961165679,-0.3129060637145733,0.4497359327632634,0.4557960844946003,0.4377699321324112,0.7308769691116633
Cell10,0.8994101908209388,0.920512945570967,0.2688377019007656,0.8447805001304038,0.8926616177295186,0.9134623608397936,0.8161729253185136,0.16321074695643822,0.06247134250198014,1.0,0.5195106684192,0.7587101066077804,0.9095892573310229,0.9028512806699635,0.870632675025339,-0.6183002170817531,0.8163655751186492,-0.05623244853648681,-0.4279036351583604,0.9012563275983795,0.8913144062708941,0.9061983224802141,0.40292234900651935
Cell11,0.5293596343979329,0.5247457942850043,0.34460461504269874,0.5228572690193948,0.4892093889641665,0.5319923698016175,0.5068336614218962,0.07021000846669051,0.20701975029109068,0.5195106684192,1.0,0.21072960847143354,0.5055032776335417,0.5156191670985477,0.5041689964435643,-0.27678068033328934,0.4572629298938842,-0.18338614124640398,-0.24180494496217214,0.5185007644659018,0.5073404183332877,0.4931595612895755,0.3409903614757373
Cell12,0.6216419179595506,0.6377301740420507,-0.030152289048891216,0.5375806601887266,0.6355932297390222,0.6239846372580372,0.5378392557313166,0.18829382454121504,-0.20678867039605311,0.7587101066077804,0.21072960847143354,1.0,0.6465152231889866,0.615095641923246,0.5782233856265638,-0.541291281093853,0.5577763514173427,0.08931511789824935,-0.22880636767133392,0.6136548876634259,0.6235092036193307,0.6365330156566777,0.07740007817812088
Cell13,0.9677056757296156,0.9755034293257974,0.5552870836885865,0.9649819397651401,0.8205709194988307,0.968765212151672,0.8970463017874102,0.08952129567444156,0.3928048691974333,0.9095892573310229,0.5055032776335417,0.6465152231889866,1.0,0.9816442127578455,0.9553964780415106,-0.43774179517758544,0.8962289740071233,-0.18498816896221326,-0.5203271890644073,0.9818484392005512,0.9799745548507945,0.9723397553777213,0.5551630013506678
Cell14,0.9697576023672826,0.9836598537864373,0.5650247327892153,0.9804524333581219,0.8207784574684657,0.9804342961142849,0.9126570091800799,0.04807535151084498,0.44270361623928817,0.9028512806699635,0.5156191670985477,0.615095641923246,0.9816442127578455,1.0,0.9677106115356978,-0.3700568334819882,0.9138075247060822,-0.21508020062824407,-0.5461636746656876,0.9989441280353939,0.9940731782692587,0.9850779009659666,0.6009798925089138
Cell1,0.9568221496654719,0.9753782165560969,0.6094336327473946,0.9785958210584934,0.8156768954134221,0.9539865511762522,0.8757969145849276,0.06520803990752713,0.5148596254221349,0.870632675025339,0.5041689964435643,0.5782233856265638,0.9553964780415106,0.9677106115356978,1.0,-0.4225567756293874,0.9044749288312808,-0.18989091752353868,-0.524743905388884,0.9674772506867704,0.9663132125833106,0.979304235761247,0.6828168633679798
Cell2,-0.45115910092498723,-0.46898687842308434,0.05265246354383105,-0.36254623839059147,-0.630648938488522,-0.43202113420093785,-0.326415787720058,-0.0484367862289997,0.2975534154148062,-0.6183002170817531,-0.27678068033328934,-0.541291281093853,-0.43774179517758544,-0.3700568334819882,-0.4225567756293874,1.0,-0.23350911387521184,-0.06452173747820904,0.22702504289325465,-0.35903320051895954,-0.36105630941352906,-0.4326151971657087,-0.113317944302467
Cell3,0.9108549611037303,0.8869669713916659,0.6109095807898356,0.9111401152687201,0.7807510120344497,0.8849833014645416,0.8194723330838092,0.022107262584433147,0.4794864316187185,0.8163655751186492,0.4572629298938842,0.5577763514173427,0.8962289740071233,0.9138075247060822,0.9044749288312808,-0.23350911387521184,1.0,-0.2467306020890053,-0.5236464743982786,0.9122665281865304,0.9018975665857898,0.9204778183403071,0.6867274192133073
Cell4,-0.19005367839200918,-0.16334961628792802,-0.33421502934174974,-0.24163340986185194,-0.1632091056180412,-0.18588330941101036,-0.17572678084597992,0.6225936928900815,-0.3312450961165679,-0.05623244853648681,-0.18338614124640398,0.08931511789824935,-0.18498816896221326,-0.21508020062824407,-0.18989091752353868,-0.06452173747820904,-0.2467306020890053,1.0,0.6694725348274169,-0.2165228381537383,-0.21174616584971276,-0.1967304886530636,-0.2811871478530346
Cell5,-0.5266561627141956,-0.511846158892176,-0.3485008207299683,-0.5377879439842163,-0.45924110464908746,-0.5274507857473884,-0.41271455258058615,0.6716756678293451,-0.3129060637145733,-0.4279036351583604,-0.24180494496217214,-0.22880636767133392,-0.5203271890644073,-0.5461636746656876,-0.524743905388884,0.22702504289325465,-0.5236464743982786,0.6694725348274169,1.0,-0.5524287544646856,-0.5540342451474638,-0.5508829310839536,-0.35557959820128343
Cell6,0.9686938812583121,0.9853340968622352,0.5583622751317828,0.9797933204315189,0.8132124366826042,0.9808236051977074,0.907264879656756,0.05114582881009659,0.4497359327632634,0.9012563275983795,0.5185007644659018,0.6136548876634259,0.9818484392005512,0.9989441280353939,0.9674772506867704,-0.35903320051895954,0.9122665281865304,-0.2165228381537383,-0.5524287544646856,1.0,0.9958694273615533,0.985539425378093,0.5947424224512418
Cell7,0.9652215726843592,0.9825208518872492,0.5609456733184742,0.9774082999687491,0.7970905617198305,0.977782563312304,0.9044059882921083,0.0476723967310238,0.4557960844946003,0.8913144062708941,0.5073404183332877,0.6235092036193307,0.9799745548507945,0.9940731782692587,0.9663132125833106,-0.36105630941352906,0.9018975665857898,-0.21174616584971276,-0.5540342451474638,0.9958694273615533,1.0,0.9820330280924651,0.5860822547700065
Cell8,0.9678229340364625,0.9825650795055467,0.5434219526573861,0.9736058064317761,0.8292139211861516,0.9696201222549138,0.8833766375762467,0.059945170302986905,0.4377699321324112,0.9061983224802141,0.4931595612895755,0.6365330156566777,0.9723397553777213,0.9850779009659666,0.979304235761247,-0.4326151971657087,0.9204778183403071,-0.1967304886530636,-0.5508829310839536,0.985539425378093,0.9820330280924651,1.0,0.6233095674239556
Cell9,0.588055284058989,0.5726722617228426,0.7355380787536326,0.6797615123612837,0.47809206534986626,0.5483556111214984,0.5263043909704623,-0.0592181843923117,0.7308769691116633,0.40292234900651935,0.3409903614757373,0.07740007817812088,0.5551630013506678,0.6009798925089138,0.6828168633679798,-0.113317944302467,0.6867274192133073,-0.2811871478530346,-0.35557959820128343,0.5947424224512418,0.5860822547700065,0.6233095674239556,1.0
