Cell,DutyCycle,RawNorm_AvgAmplitude,FoldChange_AvgAmplitude,RawNorm_PeakAmplitude,FoldChange_PeakAmplitude,NumOscillations
Beta_Cell1,0.3595505617977528,2673.0502361178987,1.398578110743959,9672.2971014493,2.44223473736462,9
Beta_Cell2,0.4942528735632184,3961.4442161897814,1.5880041805995249,9807.51489361703,2.4557468044534607,13
Beta_Cell3,0.22988505747126436,330.56891350704694,1.0492900428327963,2928.0904977375594,1.4365979381443303,2
Beta_Cell4,0.0,91.15347951813725,1.0135146020876733,201.43742098608982,1.0298655257548612,14
Beta_Cell5,0.0,193.21470905172382,1.0283811251685446,2160.8020833333303,1.3173981664880277,1
Beta_Cell6,0.0,150.86138281549972,1.0219871817162116,310.62447257383974,1.045271736189347,10
Beta_Cell7,0.26136363636363635,466.53416821274146,1.0692699317227434,4156.1258503401805,1.6170921092169888,5
Beta_Cell8,0.367816091954023,770.0551724137918,1.1139171637674115,3917.99696969698,1.579604057509478,7
Beta_Cell9,0.0,104.13641272334631,1.0151568902215697,229.8358531317499,1.0334522450293486,13
Beta_Cell10,0.0,89.21651005244469,1.0129494497110916,168.48798076922958,1.0244554133827015,17
Beta_Cell11,0.5402298850574713,3089.263227165046,1.4399167359746385,10150.267175572491,2.4454166177500043,8
Beta_Cell12,0.0,2669.9685792349705,1.3885376428351461,5276.0040983606705,1.7677716554076437,5
Beta_Cell13,0.12643678160919541,320.3330585782429,1.0470157051020406,2683.77734375,1.3939015370855574,4
Beta_Cell14,0.0,114.05128394333342,1.0166640633049033,1623.5194805194797,1.2372128613086262,2
Beta_Cell15,0.19540229885057472,607.6448539089233,1.0898799491059359,7109.93893129767,2.0516684954714157,5
Beta_Cell16,0.0,349.4718390804563,1.0525165148506548,2442.9815789473705,1.3671164998823515,3
Beta_Cell17,0.0,133.37875069955504,1.0203774882750785,1369.6104868913799,1.2092478861263387,1
Beta_Cell18,0.0,62.70748569612511,1.0096874309453312,114.18881118881018,1.0176405768919137,21
Beta_Cell19,0.5568181818181818,1135.7535511363646,1.1775338755613918,5727.776041666701,1.8953300458601745,11
Beta_Cell20,0.5113636363636364,8286.687584803258,2.2979823778584496,15847.52985074625,3.4822722310150604,6
Beta_Cell21,0.0,114.43808777429469,1.0175739644400705,1818.4827586206893,1.279259746090061,3
Beta_Cell22,0.0,90.26807626592218,1.0137289038599933,714.7972972973002,1.1087137754555458,6
Delta_Cell1,0.0,3768.86025073744,1.2904837368992896,7011.598820058998,1.5404168081028906,1
Delta_Cell2,0.0,4471.477857727821,1.3055845724065978,8042.9845559845,1.5496643558607104,0
Delta_Cell3,0.0,2559.163116175419,1.1624073698660264,4544.2452316077,1.2883829137060172,3
Delta_Cell4,0.0,4704.192882775079,1.3122060147309056,10013.2719298245,1.664556875436441,2
Delta_Cell5,0.0,114.58320420109811,1.0178326055317628,1845.23106060606,1.2871736555821423,2
Delta_Cell6,0.32954545454545453,1783.4994479205036,1.2751418345707457,7463.417004048611,2.1513870940945568,5
Delta_Cell7,0.0,2401.1132122154663,1.3623696596155348,3765.702954898891,1.5683099368400268,5
Delta_Cell8,0.6363636363636364,3154.6756766696144,1.4683516384904232,6479.90291262139,1.9620238203342046,5
Delta_Cell9,0.0,145.77999755621065,1.0219212370166308,1277.9112903225805,1.1921621398751103,6
Delta_Cell10,0.0,4829.6130250287715,1.4907878150265539,8313.23101265818,1.8447949066248817,5
Delta_Cell11,0.0,56.72758804695631,1.0083497462735893,108.09498399146014,1.0159105246820876,20
Delta_Cell12,0.5454545454545454,2692.053781174575,1.3890000405016694,7514.0530973450805,2.0857758413443013,5
Delta_Cell13,0.0,1043.2701599326472,1.090804480082027,2217.5666666666984,1.1930132730211542,16
Delta_Cell14,0.0,1194.6635706378815,1.1705913704117408,2236.286149162861,1.3193293310306542,6
Delta_Cell15,0.0,1601.3773440070204,1.235572640538267,3500.73703256932,1.514980350932726,20
Delta_Cell16,0.0,2635.3284554731385,1.160672564851646,4882.3897959184,1.2976729862596472,21
Delta_Cell17,0.4090909090909091,3470.2349948347114,1.514313921013385,10539.22954545451,2.5619900323900118,11
Delta_Cell18,0.0,1112.9483409764853,1.067053003636709,2265.3916913946014,1.1364855058666756,19
Delta_Cell19,0.0,2511.7454325335625,1.2609611552559374,4705.406779661051,1.488874538504037,2
