Cell,DutyCycle,Duty Cycle OnOff,RawNorm_AvgAmplitude,FoldChange_AvgAmplitude,RawNorm_PeakAmplitude,FoldChange_PeakAmplitude,DominantFrequency,FrequencyAmplitude
Beta_Cell1,0.359550562,1,2673.050236,1.398578111,9672.297101,2.442234737,0.06741573,1652.765612
Beta_Cell2,0.494252874,1,3961.444216,1.588004181,9807.514894,2.455746804,0.011494253,1901.2117
Beta_Cell3,0,0,330.5689135,1.049290043,2928.090498,1.436597938,0.011494253,414.6654912
Beta_Cell4,0,0,91.15347952,1.013514602,201.437421,1.029865526,0.011494253,46.74877089
Beta_Cell5,0,0,193.2147091,1.028381125,2160.802083,1.317398166,0.091954023,107.0232198
Beta_Cell6,0,0,150.8613828,1.021987182,310.6244726,1.045271736,0.011363636,77.41239741
Beta_Cell7,0.261363636,1,466.5341682,1.069269932,4156.12585,1.617092109,0.011363636,716.0250076
Beta_Cell8,0.367816092,1,770.0551724,1.113917164,3917.99697,1.579604058,0.057471264,947.0060412
Beta_Cell9,0,0,104.1364127,1.01515689,229.8358531,1.033452245,0.011363636,54.60349285
Beta_Cell10,0,0,89.21651005,1.01294945,168.4879808,1.024455413,0.011363636,21.85118295
Beta_Cell11,0.540229885,1,3089.263227,1.439916736,10150.26718,2.445416618,0.011494253,2518.121672
Beta_Cell12,0,0,2669.968579,1.388537643,5276.004098,1.767771655,0.011494253,1459.722749
Beta_Cell13,0,0,320.3330586,1.047015705,2683.777344,1.393901537,0.022988506,425.8719095
Beta_Cell14,0,0,114.0512839,1.016664063,1623.519481,1.237212861,0.022727273,107.7902809
Beta_Cell15,0.195402299,1,607.6448539,1.089879949,7109.938931,2.051668495,0.045977011,838.3087
Beta_Cell16,0,0,349.4718391,1.052516515,2442.981579,1.3671165,0.011494253,426.5167439
Beta_Cell17,0,0,133.3787507,1.020377488,1369.610487,1.209247886,0.022988506,116.1001904
Beta_Cell18,0,0,62.7074857,1.009687431,114.1888112,1.017640577,0.011363636,15.81399616
Beta_Cell19,0.556818182,1,1135.753551,1.177533876,5727.776042,1.895330046,0.181818182,761.6282889
Beta_Cell20,0.511363636,1,8286.687585,2.297982378,15847.52985,3.482272231,0.011363636,6164.635482
Beta_Cell21,0,0,114.4380878,1.017573964,1818.482759,1.279259746,0.090909091,71.31509372
Beta_Cell22,0,0,90.26807627,1.013728904,714.7972973,1.108713775,0.252873563,44.76945301
Delta_Cell1,0,0,3768.860251,1.290483737,7011.59882,1.540416808,0.011363636,2526.163965
Delta_Cell2,0,0,4471.477858,1.305584572,8042.984556,1.549664356,0.011363636,2544.916465
Delta_Cell3,0,0,2559.163116,1.16240737,4544.245232,1.288382914,0.011363636,1404.729225
Delta_Cell4,0,0,4704.192883,1.312206015,10013.27193,1.664556875,0.011363636,3140.286066
Delta_Cell5,0,0,114.5832042,1.017832606,1845.231061,1.287173656,0.079545455,83.30093722
Delta_Cell6,0.329545455,1,1783.499448,1.275141835,7463.417004,2.151387094,0.011363636,2853.043421
Delta_Cell7,0,0,2401.113212,1.36236966,3765.702955,1.568309937,0.011363636,1263.947116
Delta_Cell8,0,0,3154.675677,1.468351638,6479.902913,1.96202382,0.011363636,2668.635216
Delta_Cell9,0,0,145.7799976,1.021921237,1277.91129,1.19216214,0.011363636,163.1308672
Delta_Cell10,0,0,4829.613025,1.490787815,8313.231013,1.844794907,0.011363636,2181.096649
Delta_Cell11,0,0,56.72758805,1.008349746,108.094984,1.015910525,0.011363636,24.40959133
Delta_Cell12,0.545454545,1,2692.053781,1.389000041,7514.053097,2.085775841,0.011363636,2457.234747
Delta_Cell13,0,0,1043.27016,1.09080448,2217.566667,1.193013273,0.011363636,364.4418529
Delta_Cell14,0,0,1194.663571,1.17059137,2236.286149,1.319329331,0.011363636,710.7119849
Delta_Cell15,0,0,1601.377344,1.235572641,3500.737033,1.514980351,0.011363636,680.8618771
Delta_Cell16,0,0,2635.328455,1.160672565,4882.389796,1.297672986,0.090909091,539.065708
Delta_Cell17,0.409090909,1,3470.234995,1.514313921,10539.22955,2.561990032,0.011363636,3609.774559
Delta_Cell18,0,0,1112.948341,1.067053004,2265.391691,1.136485506,0.034090909,382.6539587
Delta_Cell19,0,0,2511.745433,1.260961155,4705.40678,1.488874539,0.011363636,1341.951411
