Beta_Cell1,Beta_Cell2,Beta_Cell3,Beta_Cell4,Beta_Cell5,Beta_Cell6,Beta_Cell7,Beta_Cell8,Beta_Cell9,Beta_Cell10,Beta_Cell11,Beta_Cell12,Beta_Cell13,Beta_Cell14,Beta_Cell15,Beta_Cell16,Beta_Cell17,Beta_Cell18,Beta_Cell19,Beta_Cell20,Beta_Cell21,Beta_Cell22,Delta_Cell1,Delta_Cell2,Delta_Cell3,Delta_Cell4,Delta_Cell5,Delta_Cell6,Delta_Cell7,Delta_Cell8,Delta_Cell9,Delta_Cell10,Delta_Cell11,Delta_Cell12,Delta_Cell13,Delta_Cell14,Delta_Cell15,Delta_Cell16,Delta_Cell17,Delta_Cell18,Delta_Cell19
6738.63768115942,7509.26808510638,9634.69683257919,6764.10872313527,6830.109375,6890.14767932489,6794.32653061224,7456.28484848485,6921.2030237581,6964.07451923077,16983.1984732824,11133.25,8165.15234375,6881.24350649351,6774.74809160305,9097.49473684211,7915.0074906367,6515.60839160839,6430.17708333333,6398.61194029851,6524.2183908046,6872.77195945946,19274.4808259587,21605.5366795367,19811.1961852861,24604.5350877193,6475.17803030303,6509.03643724696,6776.00933125972,6770.08414239482,6689.63978494624,11700.8037974684,6810.64461045891,14434.4991150442,12355.0259259259,8724.94368340944,8503.44873341375,16401.8571428571,6793.39318181818,17319.9465875371,14267.2082324455
11060.6304347826,8040.2085106383,8128.61990950226,6758.91276864728,6816.02604166667,6871.79324894515,6767.46598639456,6798.00909090909,6891.08207343413,6916.05288461538,16417.3015267176,10963.6270491803,8469.13671875,6887.58766233766,6760.62748091603,8767.31052631579,7780.5468164794,6499.79020979021,6951.14583333333,6397.07462686567,6513.28352490421,6786.26013513513,19441.48820059,21711.9794079794,19846.5585831063,24657.8289473684,6449.35606060606,6497.94736842105,7166.42612752722,6774.06472491909,6682.22849462366,11413.5759493671,6811.97865528282,14339.3557522124,12488.5,8809.87214611872,8602.62243667069,16673.693877551,6818.76136363636,17202.6142433234,14330.3849878935
16154.2420289855,7972.87234042553,8422.23755656109,6784.81921618205,6851.3125,6876.72573839662,6763.47619047619,6813.72121212121,6890.55291576674,6930.62019230769,17172.6488549618,11243.0901639344,9139.12890625,6867.23376623377,6783.37557251908,8962.64736842105,7710.69288389513,6504.85314685315,9488.25,6538.62686567164,6512.42528735632,6575.13851351351,19593.8864306785,21830.332046332,20301.9237057221,24726.2763157895,7649.67045454545,6511.76923076923,7785.41213063764,6746.34951456311,6664.51344086022,11976.8544303797,6800.38954108858,14148.9840707965,12569.2185185185,8791.61339421613,9191.75995174909,17938.8551020408,6800.40681818182,17422.9584569733,14217.2372881356
16118.7927536232,7308.54893617021,7111.35520361991,6745.30973451327,6807.859375,6910.34599156118,6781.48639455782,6779.54545454545,6909.40388768898,6960.36057692308,15375.9198473282,11454.2295081967,9360.3125,6867.43181818182,7979.32366412214,8973.38684210526,7013.09737827715,6496.30769230769,10054.703125,6413.0223880597,6523.67049808429,6581.22128378378,19837.110619469,22122.4427284427,20089.8828337875,25048.798245614,8270.7196969697,6519.3036437247,7465.49611197512,6756.50809061489,6673.22311827957,11361.3734177215,6802.96157950907,14211.5097345133,12406.9851851852,8915.16590563166,8577.51628468034,17297.5142857143,6797.07727272727,17488.1691394659,14153.7239709443
16378.7623188406,9327.28510638298,6735.81221719457,6754.07458912769,6825.0390625,6861.33333333333,6740.53741496599,6792.39393939394,6870.56587473002,6913.81971153846,16602.3396946565,11095.2540983607,9124.3137254902,6852.97727272727,6783.80152671756,8474.4552631579,7354.1797752809,6510.2027972028,7866.03125,6384.28358208955,6511.7969348659,6581.25506756757,19892.1533923304,22464.7528957529,20049.7166212534,25080.8640350877,6467.11742424242,6507.82591093117,7390.03265940902,6737.26537216828,6651.00806451613,11424.6898734177,6803.73212379936,14125.8584070796,12267.2074074074,9004.23896499239,8636.99276236429,17660.706122449,6747.30909090909,17647.6824925816,14089.7021791768
15920.1797101449,8213.4,6748.11312217195,6759.97977243995,6830.11979166667,6874.10126582278,6749.95238095238,6777.69393939394,6877.96976241901,6929.47596153846,15826.2748091603,11680.2991803279,9414.28346456693,6856.79545454545,6789.27480916031,8251.58684210526,6950.35205992509,6536.11188811189,6452.84895833333,6460.5447761194,6541.49042145594,6599.125,19797.6120943953,22391.3873873874,20000.3460490463,24903.5043859649,6483.57575757576,6518.55060728745,7828.26749611198,6763.61488673139,6659.80913978495,11715.3481012658,6802.37139807898,13951.0159292035,12636.7444444444,9100.05936073059,8851.09529553679,18223.4040816327,6803.11363636364,17843.3323442136,14112.9588377724
15865.0782608696,9042.89787234043,6719.85746606335,6747.30467762326,7346.8359375,6878.95780590717,6752.6768707483,6759.78181818182,6888.60475161987,6930.74038461538,16505.1908396947,11919.4221311475,9497.09765625,6891.03896103896,10442.093129771,8539.39736842105,6600.42696629214,6498.46153846154,6417.5,6408.24626865672,6552.12260536398,6577.95777027027,19986.0265486726,22675.5225225225,19852.621253406,25012.0701754386,6451.70075757576,6519.46153846154,7800.87558320373,6779.93203883495,6688.99193548387,11181.6202531646,6826.43970117396,13905.0123893805,12781.0333333333,9109.86910197869,8387.99396863691,17938.4530612245,6794.91590909091,17745.9881305638,14162.8062953995
15552.6188405797,8119.56595744681,6746.47963800905,6754.93299620733,8041.15885416667,6881.86075949367,6743.08503401361,6785.31212121212,6870.60475161987,6917.63221153846,16909.320610687,12147.8442622951,9178.5703125,6844.1461038961,6767.3572519084,6683.40526315789,6567.59925093633,6497.88111888112,6408.02604166667,7114.10447761194,6570.37931034483,6929.94256756757,19846.6091445428,22381.2947232947,20005.0899182561,24243.5657894737,6439.24621212121,6524.86639676113,8460.93468118196,6735.69902912621,6650.17204301075,11883.4082278481,6793.9295624333,13353.3840707965,13044.3481481481,8829.35464231355,8968.35223160434,19120.2857142857,6772.13863636364,18107.3056379822,14141.2276029056
12698.8391304348,8322.10638297872,6743.88235294118,6770.13147914033,8968.66145833333,6892.12658227848,6766.69387755102,8407.24242424242,6900.74298056155,6929.53846153846,14506.6183206107,11959.9262295082,7815.01953125,6861.4512987013,11366.7099236641,8131.58947368421,6578.58052434457,6473.07692307692,6397.390625,8365.23134328358,6541.92720306513,6821.72466216216,19713.8628318584,21995.4942084942,20143.2316076294,23882.4429824561,6428.23106060606,6508.24291497976,9244.25505443235,6761.33009708738,6666.01612903226,12323.5063291139,6796.43009605123,12748.1681415929,12952.0703703704,8564.06544901066,9399.01688781665,20030.2795918367,6805.21363636364,18279.6913946588,13990.5520581114
9783.9652173913,7096.47234042553,6706.60633484163,6744.81415929204,7690.15625,6902.67088607595,6779.08503401361,9095.07272727273,6913.48596112311,6944.61778846154,11635.606870229,12075.7459016393,6840.4375,6860.58766233766,12612.3099236641,7822.86578947368,6547.96629213483,6505.61538461538,6430.00520833333,6693.58955223881,8330.27969348659,6613.89527027027,19648.1002949853,22160.4877734878,19277.446866485,24183.1754385965,6458.01515151515,6513.63157894737,9021.12752721617,6750.65372168285,6673.11827956989,10900.6202531646,6798.70010672359,12571.1663716814,12887.2555555556,8668.26179604262,8901.10132689988,19440.8714285714,6809.02954545455,18095.3442136499,13935.1331719128
8161.25652173913,9297.08085106383,6724.51583710407,6777.70543615676,6863.703125,6888.43037974684,6735.01700680272,10477.7909090909,6883.40388768898,6931.74519230769,12957.7977099237,11625.7090163934,7711.92578125,6870.90584415584,12061.1221374046,8461.35,6553.62546816479,6480.34265734266,6407.01041666667,7270.17164179104,6575.5632183908,6624.57432432432,19386.6902654867,22004.268983269,19037.4959128065,23892.5745614035,6429.54545454545,6509.72874493927,9403.58942457232,6749.21035598705,6676.30107526882,11034.3196202532,6805.79082177161,11600.7876106195,13019.8259259259,8574.01826484018,9388.05548854041,20245.1081632653,6790.52727272727,18472.178041543,13708.4963680387
7944.04782608696,8188.81276595745,8210.19004524887,6780.06321112516,6874.68489583333,6919.43037974684,6761.41836734694,9580.68181818182,6909.53563714903,6934.63221153846,11239.1488549618,11686.0409836066,6861.9453125,6881.25649350649,11250.5282442748,7381.41578947368,6576.48314606742,6504.35664335664,6417.72395833333,6398.07462686567,6588.7816091954,6630.95439189189,18612.6415929204,21682.4954954955,17956.9400544959,23678.2280701754,6447.93181818182,6509.2955465587,8859.06065318818,6752.54368932039,6681.83064516129,9840.53164556962,6805.45677694771,11626.8619469027,12852.5481481481,8500.78538812785,8121.4523522316,18485.4571428571,6797.79318181818,17767.0178041543,13466.2590799031
7357.5768115942,8331.47234042553,9447.59728506787,6783.65360303413,6882.14322916667,6919.64135021097,6776.84693877551,6990.95454545455,6924.33045356372,6944.83653846154,9062.08396946565,11720.1680327869,6852.22265625,6861.97402597403,6770.5358778626,6654.51315789474,6545.39700374532,6490.40559440559,6573.75520833333,6390.5,6607.5632183908,6630.83277027027,18469.8731563422,21754.0167310167,17754.4359673025,23667.2543859649,6434.06439393939,6513.77327935223,8964.76516329704,6775.09061488673,6668.03494623656,10098.7088607595,6811.61045891142,11563.0389380531,12816.9777777778,8492.24048706241,7676.81423401689,18472.6408163265,6791.63863636364,17876.5163204748,13552.8305084746
7132.03043478261,7902.25106382979,9629.68099547511,6796.71302149178,6900.69270833333,6934.0970464135,6775.69047619048,8892.90606060606,6916.13390928726,6974.6875,9591.6679389313,11649.737704918,6882.44921875,6855.03246753247,6794.11603053435,6689.47105263158,6580.36329588015,6476.8041958042,7724.98958333333,7156.41044776119,6579.95019157088,6635.36824324324,18507.5693215339,21659.6602316602,17831.0926430518,23327.6447368421,6425.48863636364,6482.10931174089,9259.56920684292,6753.19741100324,6671.04032258064,11102.4525316456,6807.60939167556,10991.2495575221,12966.9222222222,8285.08371385084,7902.70205066345,18827.9612244898,6793.74545454545,18102.5994065282,13465.5084745763
6752.0884057971,8767.82553191489,8582.25791855204,6829.07079646018,6931.28645833333,6946.95358649789,6809.09183673469,6825.92727272727,6951.53347732181,6978.21634615385,8696.59541984733,10824.3073770492,6850.8671875,6852.17857142857,6788.10381679389,6701.20789473684,6577.67041198502,6525.03496503497,10179.0260416667,7134.08208955224,6612.64367816092,6649.93581081081,18284.1356932153,21726.619047619,17548.5749318801,23509.2456140351,7357.82954545455,6521.14574898785,9330.36858475894,6792.33656957929,6677.50268817204,11437.4620253165,6811.1750266809,10881.0389380531,13086.3074074074,8297.2800608828,7803.01930036188,18575.0897959184,6805.67954545455,17904.4599406528,13420.2953995157
6773.55217391304,10515.3276595745,8344.80995475113,6786.79266750948,6896.05729166667,6987.45991561181,6821.24149659864,6841.54242424242,6971.50539956803,7002.07932692308,10322.1450381679,10947.0491803279,6871.76953125,6873.65584415584,6792.0213740458,6687.10789473684,6590.73033707865,6531.97902097902,7435.15625,7357.64925373134,6610.01915708812,6654.83783783784,18421.5235988201,21750.9987129987,17504.8528610354,23454.7368421053,6467.61742424242,6514.09311740891,9416.64385692068,6760.95469255663,6685.81989247312,12157.6962025316,6825.83564567769,10946.0283185841,13252.462962963,8436.44596651446,7718.86248492159,18541.5693877551,6828.9,17781.3471810089,13549.7142857143
6752.54927536232,9912.69361702128,7867.14027149321,6811.40455120101,6906.50260416667,6937.05907172996,6797.28571428571,6805.26666666667,6936.7969762419,6989.49519230769,11233.1374045802,10873.8073770492,6995.69921875,6891.57792207792,6781.30229007634,6672.67631578947,6560.73782771536,6537.94405594406,6452.63541666667,8552.79104477612,6596.6091954023,6634.05236486487,18666.9808259587,21474.4015444015,17953.659400545,22897.2324561404,6479.43939393939,6531.51012145749,9675.20373250389,6798.33333333333,6708.9435483871,13042.9936708861,6837.46531483458,10738.4548672566,13238.7444444444,8404.96651445967,8568.42581423402,19483.6775510204,6811.84545454545,18298.4154302671,13514.6682808717
6706.4652173913,10809.7063829787,7739.61312217195,6789.90644753477,6898.14322916667,6974.16877637131,6778.58843537415,6812.47272727273,6928.22678185745,6933.23076923077,10104.0801526718,10577.7745901639,6841.01171875,6857.78571428571,6777.72824427481,6687.08684210526,6569.40074906367,6527.04895104895,6443.08333333333,8848.65671641791,6588.19923371647,6622.7179054054,18834.8584070796,21608.6138996139,18495.7683923706,22873.4605263158,6466.62121212121,6494.31983805668,9871.94401244168,6738.35275080906,6668.5188172043,13598.4746835443,6810.97972251868,10450.7681415929,13154.2333333333,8305.83713850837,9224.28950542823,20165.4612244898,7028.57045454545,18474.4836795252,13473.5060532688
14679.9463768116,10871.9489361702,6752.31674208145,6802.46144121365,6900.1171875,6937.3417721519,6770.7619047619,6822.87575757576,6921.65010799136,6947.86778846154,9945.93511450382,10290.8073770492,6900.51953125,6859.39285714286,6813.01984732824,6719.52368421053,6611.33707865169,6508.79020979021,6419.234375,8161.19402985075,6590.94636015326,6661.27364864865,18887.8421828909,21763.7696267696,18592.3324250681,23042.7105263158,6446.15909090909,6512.03238866397,9737.94556765163,6765.19093851133,6671.66397849462,13458.4208860759,6803.95410885806,11150.8194690265,12724.8037037037,8595.2602739726,8524.52231604343,19022.9489795918,6767.12045454545,18381.2551928783,13452.5859564165
15317.6927536232,12347.1106382979,6748.66063348416,6787.50063211125,6884.34375,6952.06329113924,6791.33673469388,6806.19090909091,6934.13822894168,6992.32211538462,12317.8129770992,10684.2786885246,7140.2734375,6924.0,9312.01526717557,8075.68157894737,6597.43071161049,6568.05594405594,6475.125,10329.2089552239,6609.10727969349,6633.8125,18895.1194690265,21368.7425997426,19045.9291553134,22308.7850877193,6508.75757575758,6530.85425101215,9876.21150855366,7036.39805825243,6732.57795698925,14911.1708860759,6854.55923159018,10198.8212389381,12933.9333333333,8349.95585996956,9705.2738238842,20680.8816326531,7997.00227272727,18733.7922848665,13125.6295399516
15085.6144927536,11647.7957446809,6764.73076923077,6816.50948166877,6913.51302083333,6921.42194092827,6790.39795918367,6816.9303030303,6926.03887688985,6951.39182692308,11056.0419847328,10784.5737704918,6847.7421875,7113.94805194805,6801.12366412214,7512.33421052632,6601.21348314607,6538.6993006993,6443.20833333333,9321.35074626866,6605.87356321839,6630.2347972973,18988.697640118,21571.157014157,18887.583106267,22576.6271929825,6472.65909090909,6530.53036437247,9733.96423017107,6739.17799352751,6695.81989247312,13931.3829113924,6828.40128068303,11248.2053097345,12467.8962962963,8680.18569254186,8230.65138721351,19149.2102040816,6791.79090909091,17695.703264095,13150.9733656174
13595.7289855072,10103.2468085106,6738.4185520362,6802.11504424779,6895.9921875,6984.62025316456,6802.3231292517,6809.45151515152,6947.33045356372,6968.20192307692,9079.0572519084,10544.5819672131,6881.8671875,7812.62987012987,6804.24122137405,6712.53947368421,6601.76779026217,6529.75524475524,6451.36458333333,9710.41791044776,6599.51340996169,6629.1097972973,18875.691740413,21156.8236808237,18689.4441416894,22072.850877193,6478.90909090909,6533.8016194332,9553.96578538103,6750.94822006473,6694.7688172043,12764.9905063291,6832.32870864461,11059.4283185841,12321.4666666667,8753.28462709285,8122.38600723764,18890.4857142857,6787.31136363636,17652.7744807122,12934.6707021792
10779.5623188406,8128.24680851064,6762.12669683258,6812.70796460177,6916.00520833333,6957.14345991561,6782.4693877551,8858.6,6927.70626349892,6948.13701923077,11603.8358778626,10684.631147541,6886.8203125,8467.66558441558,6792.28244274809,6875.33947368421,6601.56554307116,6539.32167832168,6460.80729166667,12826.947761194,6587.51724137931,6603.8902027027,18783.3731563422,20556.5881595882,19337.7329700272,21250.9912280702,6491.34848484848,6538.53846153846,9891.00466562986,6784.00647249191,6695.08870967742,13503.6962025316,6829.53895410886,10026.2123893805,12932.162962963,8488.26331811263,9332.76598311218,20590.5469387755,8321.6,18354.6646884273,12676.6779661017
7089.47826086957,11059.1404255319,6767.96606334842,6794.24399494311,6886.3046875,6969.56540084388,6795.30272108844,10520.0696969697,6936.43196544276,6971.19951923077,10566.4389312977,11628.5696721311,6897.12109375,6873.03896103896,6811.29160305344,6731.40526315789,6595.80524344569,6522.85314685315,6438.390625,8750.78358208955,6571.97318007663,6634.15033783784,19084.8171091445,21153.6023166023,18821.621253406,22380.7368421053,6469.08712121212,6509.87854251012,9534.75738724728,6794.76375404531,6681.63172043011,11997.1962025316,6817.96051227321,11462.2725663717,12454.5703703704,8996.19939117199,7687.99517490953,18885.293877551,6809.26590909091,17684.0771513353,12963.808716707
6750.55652173913,13257.8255319149,6757.72850678733,6790.13021491783,6886.453125,6944.0970464135,6794.78571428571,9829.92121212121,6929.39956803456,6949.01442307692,11867.4160305344,11109.5778688525,6815.58984375,6894.29545454545,6766.16183206107,6688.77631578947,6573.25093632959,6523.51048951049,6441.08333333333,8201.22388059702,6593.01915708812,6595.30743243243,19332.7020648968,21484.2741312741,19123.2833787466,22610.0394736842,6482.34090909091,6529.74493927126,9419.40124416796,6784.49514563107,6704.08064516129,11844.417721519,6847.83778014941,11976.389380531,12389.7925925926,9172.9497716895,7379.79131483715,18316.1612244898,6847.61363636364,17580.0267062315,12997.6755447942
