Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19
19274.4808259587,21605.5366795367,19811.1961852861,24604.5350877193,6475.17803030303,6509.03643724696,6776.00933125972,6770.08414239482,6689.63978494624,11700.8037974684,6810.64461045891,14434.4991150442,12355.0259259259,8724.94368340944,8503.44873341375,16401.8571428571,6793.39318181818,17319.9465875371,14267.2082324455
19441.48820059,21711.9794079794,19846.5585831063,24657.8289473684,6449.35606060606,6497.94736842105,7166.42612752722,6774.06472491909,6682.22849462366,11413.5759493671,6811.97865528282,14339.3557522124,12488.5,8809.87214611872,8602.62243667069,16673.693877551,6818.76136363636,17202.6142433234,14330.3849878935
19593.8864306785,21830.332046332,20301.9237057221,24726.2763157895,7649.67045454545,6511.76923076923,7785.41213063764,6746.34951456311,6664.51344086022,11976.8544303797,6800.38954108858,14148.9840707965,12569.2185185185,8791.61339421613,9191.75995174909,17938.8551020408,6800.40681818182,17422.9584569733,14217.2372881356
19837.110619469,22122.4427284427,20089.8828337875,25048.798245614,8270.7196969697,6519.3036437247,7465.49611197512,6756.50809061489,6673.22311827957,11361.3734177215,6802.96157950907,14211.5097345133,12406.9851851852,8915.16590563166,8577.51628468034,17297.5142857143,6797.07727272727,17488.1691394659,14153.7239709443
19892.1533923304,22464.7528957529,20049.7166212534,25080.8640350877,6467.11742424242,6507.82591093117,7390.03265940902,6737.26537216828,6651.00806451613,11424.6898734177,6803.73212379936,14125.8584070796,12267.2074074074,9004.23896499239,8636.99276236429,17660.706122449,6747.30909090909,17647.6824925816,14089.7021791768
19797.6120943953,22391.3873873874,20000.3460490463,24903.5043859649,6483.57575757576,6518.55060728745,7828.26749611198,6763.61488673139,6659.80913978495,11715.3481012658,6802.37139807898,13951.0159292035,12636.7444444444,9100.05936073059,8851.09529553679,18223.4040816327,6803.11363636364,17843.3323442136,14112.9588377724
19986.0265486726,22675.5225225225,19852.621253406,25012.0701754386,6451.70075757576,6519.46153846154,7800.87558320373,6779.93203883495,6688.99193548387,11181.6202531646,6826.43970117396,13905.0123893805,12781.0333333333,9109.86910197869,8387.99396863691,17938.4530612245,6794.91590909091,17745.9881305638,14162.8062953995
19846.6091445428,22381.2947232947,20005.0899182561,24243.5657894737,6439.24621212121,6524.86639676113,8460.93468118196,6735.69902912621,6650.17204301075,11883.4082278481,6793.9295624333,13353.3840707965,13044.3481481481,8829.35464231355,8968.35223160434,19120.2857142857,6772.13863636364,18107.3056379822,14141.2276029056
19713.8628318584,21995.4942084942,20143.2316076294,23882.4429824561,6428.23106060606,6508.24291497976,9244.25505443235,6761.33009708738,6666.01612903226,12323.5063291139,6796.43009605123,12748.1681415929,12952.0703703704,8564.06544901066,9399.01688781665,20030.2795918367,6805.21363636364,18279.6913946588,13990.5520581114
19648.1002949853,22160.4877734878,19277.446866485,24183.1754385965,6458.01515151515,6513.63157894737,9021.12752721617,6750.65372168285,6673.11827956989,10900.6202531646,6798.70010672359,12571.1663716814,12887.2555555556,8668.26179604262,8901.10132689988,19440.8714285714,6809.02954545455,18095.3442136499,13935.1331719128
19386.6902654867,22004.268983269,19037.4959128065,23892.5745614035,6429.54545454545,6509.72874493927,9403.58942457232,6749.21035598705,6676.30107526882,11034.3196202532,6805.79082177161,11600.7876106195,13019.8259259259,8574.01826484018,9388.05548854041,20245.1081632653,6790.52727272727,18472.178041543,13708.4963680387
18612.6415929204,21682.4954954955,17956.9400544959,23678.2280701754,6447.93181818182,6509.2955465587,8859.06065318818,6752.54368932039,6681.83064516129,9840.53164556962,6805.45677694771,11626.8619469027,12852.5481481481,8500.78538812785,8121.4523522316,18485.4571428571,6797.79318181818,17767.0178041543,13466.2590799031
18469.8731563422,21754.0167310167,17754.4359673025,23667.2543859649,6434.06439393939,6513.77327935223,8964.76516329704,6775.09061488673,6668.03494623656,10098.7088607595,6811.61045891142,11563.0389380531,12816.9777777778,8492.24048706241,7676.81423401689,18472.6408163265,6791.63863636364,17876.5163204748,13552.8305084746
18507.5693215339,21659.6602316602,17831.0926430518,23327.6447368421,6425.48863636364,6482.10931174089,9259.56920684292,6753.19741100324,6671.04032258064,11102.4525316456,6807.60939167556,10991.2495575221,12966.9222222222,8285.08371385084,7902.70205066345,18827.9612244898,6793.74545454545,18102.5994065282,13465.5084745763
18284.1356932153,21726.619047619,17548.5749318801,23509.2456140351,7357.82954545455,6521.14574898785,9330.36858475894,6792.33656957929,6677.50268817204,11437.4620253165,6811.1750266809,10881.0389380531,13086.3074074074,8297.2800608828,7803.01930036188,18575.0897959184,6805.67954545455,17904.4599406528,13420.2953995157
18421.5235988201,21750.9987129987,17504.8528610354,23454.7368421053,6467.61742424242,6514.09311740891,9416.64385692068,6760.95469255663,6685.81989247312,12157.6962025316,6825.83564567769,10946.0283185841,13252.462962963,8436.44596651446,7718.86248492159,18541.5693877551,6828.9,17781.3471810089,13549.7142857143
18666.9808259587,21474.4015444015,17953.659400545,22897.2324561404,6479.43939393939,6531.51012145749,9675.20373250389,6798.33333333333,6708.9435483871,13042.9936708861,6837.46531483458,10738.4548672566,13238.7444444444,8404.96651445967,8568.42581423402,19483.6775510204,6811.84545454545,18298.4154302671,13514.6682808717
18834.8584070796,21608.6138996139,18495.7683923706,22873.4605263158,6466.62121212121,6494.31983805668,9871.94401244168,6738.35275080906,6668.5188172043,13598.4746835443,6810.97972251868,10450.7681415929,13154.2333333333,8305.83713850837,9224.28950542823,20165.4612244898,7028.57045454545,18474.4836795252,13473.5060532688
18887.8421828909,21763.7696267696,18592.3324250681,23042.7105263158,6446.15909090909,6512.03238866397,9737.94556765163,6765.19093851133,6671.66397849462,13458.4208860759,6803.95410885806,11150.8194690265,12724.8037037037,8595.2602739726,8524.52231604343,19022.9489795918,6767.12045454545,18381.2551928783,13452.5859564165
18895.1194690265,21368.7425997426,19045.9291553134,22308.7850877193,6508.75757575758,6530.85425101215,9876.21150855366,7036.39805825243,6732.57795698925,14911.1708860759,6854.55923159018,10198.8212389381,12933.9333333333,8349.95585996956,9705.2738238842,20680.8816326531,7997.00227272727,18733.7922848665,13125.6295399516
18988.697640118,21571.157014157,18887.583106267,22576.6271929825,6472.65909090909,6530.53036437247,9733.96423017107,6739.17799352751,6695.81989247312,13931.3829113924,6828.40128068303,11248.2053097345,12467.8962962963,8680.18569254186,8230.65138721351,19149.2102040816,6791.79090909091,17695.703264095,13150.9733656174
