,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19
Cell1,1.0,0.019274393800167627,-0.1742455743552537,-0.442046048489504,0.135695290796566,-0.44016729607311694,-0.19146162001348704,-0.22123711504111304,-0.4102513014639319,-0.349010266718362,0.5169523620623351,0.3227174459051694,0.5356168402773965,0.0002766850177177765,0.30694153193122936,0.45374619749783873,0.2360493347576599,-0.17102199751397504,0.10192529853060973,-0.3481213662972943,0.026520966933332616,0.0936154841590622,0.39755502828806333,0.37614301319121735,0.42300308099498335,0.3968356239592688,0.24121751013301868,-0.262869581558148,-0.0369867404107739,-0.331212359632022,-0.12474263401016461,-0.2336366209748837,-0.3173303796129236,0.44466080806690766,0.13151195735499044,0.3810915358002722,0.30361731650367635,-0.038168843344674984,-0.31701317269694107,0.11098139957999979,0.3861116017914034
Cell2,0.019274393800167627,1.0,-0.1871878438826925,0.02499511581013704,-0.16387548453349535,0.0998251095070312,-0.20464869022938725,0.30934856782368053,0.07781590013367161,0.03599799364641288,-0.04750900413173395,-0.10909815026051208,-0.25373761404876716,0.020336507240580767,-0.0662954546985592,-0.2851036012402362,-0.21141661680873677,0.22340187003458442,0.06862162120586636,0.14293700638918405,-0.010683614823809157,0.16260871025746282,-0.02028553771891319,-0.04783489572461449,0.14838624336046885,-0.13185973909973997,-0.15842757967906898,-0.15415815772152697,0.39975463671014894,0.24417585426685826,-0.03664876034196972,0.3684058299008414,0.3265811720515983,-0.09770952108699525,-0.005388274746858639,0.10994289908162773,0.19381707409077067,0.2879761165309467,-0.004440303027340089,0.06909426561767043,-0.09602856161667528
Cell3,-0.1742455743552537,-0.1871878438826925,1.0,-0.3193548795876652,-0.18389419265049234,-0.400505250661541,-0.16037743403853533,-0.016189897036686853,-0.32399356843401084,-0.21518715485033515,0.2562010781125068,0.4491387060173175,0.11625465294246946,-0.09206935292686688,-0.08608105779646186,0.2269412587073426,0.3914357035163194,-0.3985810125147381,-0.013545365049812809,-0.491443393709859,-0.09163676525923185,0.12375538834222644,0.3750901002533791,0.4205610431648371,0.12942111240137272,0.4791407375297591,0.1701333132373207,-0.2670908745317576,-0.0784970877865943,-0.491011075320806,-0.15677614493931585,-0.5343281480190134,-0.4391194960460488,0.39445385761949725,0.30526770494078936,0.2518587694579328,-0.01676461580809845,-0.2052333952173455,-0.37931679480427766,0.10045061587692006,0.45446316579334234
Cell4,-0.442046048489504,0.02499511581013704,-0.3193548795876652,1.0,-0.0605481074994323,0.9053709720202803,0.5822969990968005,-0.21146809183553353,0.8872317974559858,0.6896851944826669,-0.8216851104027115,-0.8636056517788936,-0.5062226868981363,-0.06293528595190495,-0.36306239718337296,-0.5161117447043947,-0.26957339495299004,0.5078205024499826,0.035312274641619304,0.8646129084784666,-0.09634047572381281,-0.12787904818271484,-0.9026571281111584,-0.907366732314357,-0.7813814258570044,-0.9052772807875139,-0.13093543198731525,0.8032896518006174,-0.2765601991364016,0.7383721900214466,0.4265463987795034,0.6098517156600077,0.7137465689955645,-0.8840369556783648,-0.41905876787803653,-0.8291962052290426,-0.5118210001652306,5.267863302398888e-05,0.8593763426569975,-0.18459119440231136,-0.9062998508813038
Cell5,0.135695290796566,-0.16387548453349535,-0.18389419265049234,-0.0605481074994323,1.0,-0.08751864031275329,0.052217598982973734,0.026231418334391132,-0.06083402725761115,-0.11338882794144427,0.1114570276530289,0.12303968449482969,0.18337983595557925,-0.10093861605261895,0.3053406318808328,0.10539034963455937,-0.18052078796911747,-0.25656943756378314,-0.1289187822898082,-0.04469829688874094,0.21577210334520353,0.17411615316515838,0.0444786062579012,0.04085538073148176,0.03811576064163165,0.06573635036113336,-0.12926585454580528,0.06322270640934265,-0.10181241940233024,-0.0920603684097591,0.0200648124383255,-0.13337624037724932,-0.16613404119974953,0.06295826729939816,0.05914987463340567,-0.04813585134357718,0.03851514057974847,0.10413349135014181,0.010364929844868616,0.11507161191543043,0.0673893143090435
Cell6,-0.44016729607311694,0.0998251095070312,-0.400505250661541,0.9053709720202803,-0.08751864031275329,1.0,0.5590022844436318,-0.1777198520498913,0.9614802279783436,0.8005519913492062,-0.8487536821171052,-0.882893686878047,-0.5758544802721927,-0.09436588515218798,-0.3600502572617801,-0.5871989527683864,-0.3454291106112179,0.6080263534535725,0.09417576475656864,0.9136075930039347,-0.03933665246343997,-0.13188366583944838,-0.9264192983206714,-0.9315606137188087,-0.774103438115823,-0.9471932618874481,-0.14691184729732296,0.7808109253192631,-0.23844284727737144,0.8210829226430869,0.4531431232374875,0.6859090457370928,0.809831942318854,-0.9228925862004654,-0.43109267530837186,-0.8308127134567046,-0.4599183430708569,0.05613771564147721,0.8713245665991355,-0.20164350617776108,-0.9391587105588115
Cell7,-0.19146162001348704,-0.20464869022938725,-0.16037743403853533,0.5822969990968005,0.052217598982973734,0.5590022844436318,1.0,-0.18953342139436666,0.580082285863531,0.442015606220944,-0.4405657349538622,-0.5243565985565208,-0.1464643950283571,-0.058482088713216536,-0.14409427154322377,-0.14885667632911936,-0.06769200568297899,0.291603955921667,-0.02256194946946848,0.4969315695758581,-0.021556034631108664,-0.08963378301018601,-0.5763184472895259,-0.5799161590685535,-0.5635978343555561,-0.5180622265326937,-0.028926271127772876,0.7109797650051379,-0.4732493646644523,0.357192573238479,0.5514986081059656,0.20086627709171634,0.36162519095798357,-0.49844529692686496,-0.14629863733032353,-0.5609986121325128,-0.40320730842271163,-0.057542673256094884,0.6547478905278664,0.10908535854171693,-0.5630153567794934
Cell8,-0.22123711504111304,0.30934856782368053,-0.016189897036686853,-0.21146809183553353,0.026231418334391132,-0.1777198520498913,-0.18953342139436666,1.0,-0.1735650178802108,-0.11659755226078329,0.04636187520139933,0.18465721801392052,-0.141362064828344,0.178954449192046,0.12392365328029747,-0.022067231456841484,-0.16148926814090675,-0.11804942009067593,-0.12838853754283283,-0.1537649016526261,0.15802488074705665,0.04810445747091732,0.1444263321535812,0.13870730477035184,0.10373105860159636,0.12208044059331553,-0.14078747590960528,-0.227359162090749,0.21089329843635285,-0.1275075336132453,-0.15650756780012973,-0.1373124107644381,-0.13037251740965072,0.11463438004410935,-0.05973810826765078,0.1441006117088523,0.06423645095950001,0.11776567468777344,-0.18738318426761727,0.019252987032997645,0.101373067563629
Cell9,-0.4102513014639319,0.07781590013367161,-0.32399356843401084,0.8872317974559858,-0.06083402725761115,0.9614802279783436,0.580082285863531,-0.1735650178802108,1.0,0.8461726430518595,-0.8172878813522754,-0.8616603895864545,-0.5190346570216464,-0.09603604177595654,-0.3365888229717583,-0.490551930750838,-0.26513480536302353,0.5914107222582617,0.09040097674414006,0.859243413720255,-0.013551506323112729,-0.14240457654150399,-0.9082912550072327,-0.9123403030885875,-0.8003095648534999,-0.8993714998230066,-0.09811904246685227,0.8206146255370351,-0.3555791228071329,0.7358818917441465,0.5158514895733262,0.5812631912985056,0.7993436550681714,-0.8766068243776628,-0.41008058080419796,-0.8399910062843516,-0.510596083531806,-0.024523823757681158,0.8759557344099062,-0.16131855313108526,-0.9065928574506765
Cell10,-0.349010266718362,0.03599799364641288,-0.21518715485033515,0.6896851944826669,-0.11338882794144427,0.8005519913492062,0.442015606220944,-0.11659755226078329,0.8461726430518595,1.0,-0.6358176830025175,-0.6461594594978421,-0.4893635910173294,-0.05272339180535091,-0.217408688964762,-0.4146557119293514,-0.24946432438703717,0.5843603416051396,0.056296888611293776,0.6095248736169427,0.057840514800875605,-0.013534918042184879,-0.6731644372201259,-0.6715401214738966,-0.6246364811700654,-0.6724639892750213,-0.03333086851249525,0.5842487277979497,-0.20488078309285598,0.5294428367107679,0.3531795796771793,0.43881028183851706,0.7131424505851482,-0.6503495062095694,-0.3604026450789615,-0.6062519698233498,-0.4666979283083117,-0.09409968026445337,0.6057032567733794,-0.19318970519293416,-0.6699462722551598
