Cell,DutyCycle,RawNorm_AvgAmplitude,FoldChange_AvgAmplitude,RawNorm_PeakAmplitude,FoldChange_PeakAmplitude,NumOscillations
Beta_Cell1,0.0,127.01482125801972,1.0181249428053518,259.75071633237985,1.037066279592755,32
Beta_Cell2,0.0,148.5321751777647,1.0210953916274774,329.99547511311994,1.0468678505143771,29
Beta_Cell3,0.0,158.79056879966356,1.0223912063199316,325.7590966122898,1.0459355942735045,32
Delta_Cell1,0.47023809523809523,2791.9141612001968,1.4030951542597208,7838.64285714289,2.131739290411623,8
Delta_Cell2,0.27976190476190477,450.1437039764349,1.0648306748904528,2754.103092783499,1.396651915034637,14
Delta_Cell3,0.0,175.53017839789436,1.0247390069571476,345.6209912536506,1.0487113964402082,29
Delta_Cell4,0.375,813.499960118054,1.115555456302611,3303.27638190951,1.4692214238705048,10
Delta_Cell5,0.0,150.71719887954794,1.0219801700989215,1009.9976470588199,1.1472952008589632,15
Delta_Cell6,0.0,113.83122036693513,1.0165853819775177,220.21645021645054,1.0320858718091526,38
Delta_Cell7,0.0,250.48521090534467,1.0371905454739856,1503.32716049382,1.2232050224544027,23
Delta_Cell8,0.0,117.12078399040584,1.0173671344757977,216.95802728227045,1.0321713969718957,36
