Cell,DutyCycle,Duty Cycle OnOff,RawNorm_AvgAmplitude,FoldChange_AvgAmplitude,RawNorm_PeakAmplitude,FoldChange_PeakAmplitude,DominantFrequency,FrequencyAmplitude
Beta_Cell1,0,0,127.0148213,1.018124943,259.7507163,1.03706628,0.005952381,65.01958731
Beta_Cell2,0,0,148.5321752,1.021095392,329.9954751,1.046867851,0.005952381,77.24937274
Beta_Cell3,0,0,158.7905688,1.022391206,325.7590966,1.045935594,0.005952381,81.85464042
Delta_Cell1,0.470238095,1,2791.914161,1.403095154,7838.642857,2.13173929,0.005952381,2223.1434
Delta_Cell2,0,0,450.143704,1.064830675,2754.103093,1.396651915,0.005952381,643.7736831
Delta_Cell3,0,0,175.5301784,1.024739007,345.6209913,1.048711396,0.005952381,102.7807554
Delta_Cell4,0,0,813.4999601,1.115555456,3303.276382,1.469221424,0.005952381,1200.023157
Delta_Cell5,0,0,150.7171989,1.02198017,1009.997647,1.147295201,0.077380952,70.38660014
Delta_Cell6,0,0,113.8312204,1.016585382,220.2164502,1.032085872,0.005952381,47.47108279
Delta_Cell7,0,0,250.4852109,1.037190545,1503.32716,1.223205022,0.005952381,187.6311569
Delta_Cell8,0,0,117.120784,1.017367134,216.9580273,1.032171397,0.005952381,48.28200811
