Beta_Cell1,Beta_Cell2,Beta_Cell3,Delta_Cell1,Delta_Cell2,Delta_Cell3,Delta_Cell4,Delta_Cell5,Delta_Cell6,Delta_Cell7,Delta_Cell8
7007.73638968481,7044.77647058824,7101.52070263488,14742.0331632653,6955.75463917526,7119.18658892128,7279.73366834171,6921.58588235294,6923.75324675325,6787.7962962963,6743.81741867786
7053.85100286533,7080.39728506787,7144.23212045169,14667.6530612245,6948.03298969072,7125.31778425656,7070.89447236181,6917.27058823529,6943.51515151515,6827.85802469136,6786.64742917104
7042.78510028653,7040.97737556561,7100.49811794228,14764.8341836735,6970.94020618557,7139.94460641399,7131.06532663317,6928.86117647059,6970.80952380952,6824.32407407407,6781.87722980063
7092.69914040115,7069.41809954751,7138.47929736512,14147.7576530612,6960.09278350515,7156.19533527697,7766.40871021776,7106.78588235294,6963.01298701299,6845.35185185185,6800.51521511018
7085.02005730659,7113.5556561086,7158.91844416562,14128.0892857143,6968.71546391753,7148.75801749271,7550.0067001675,7032.54117647059,6953.62770562771,6817.73148148148,6827.71143756558
7136.35816618911,7159.30769230769,7218.29611041405,13799.9158163265,7014.32577319588,7218.22448979592,7534.27805695142,6966.55529411765,7010.36363636364,6887.00925925926,6871.34102833158
7050.21203438395,7058.49140271493,7123.78670012547,13434.375,6958.52989690722,7148.93002915452,7343.79899497487,6922.94588235294,6947.87445887446,6808.02469135802,6770.74606505771
7176.62750716332,7183.88959276018,7240.91844416562,13278.5076530612,7037.79793814433,7224.78425655977,7373.97487437186,7006.28470588235,7045.39826839827,6900.53395061728,6890.91605456453
7083.95988538682,7099.76742081448,7179.05144291092,13212.2040816327,6969.9793814433,7152.63556851312,7429.30150753769,6952.79764705882,6964.53246753247,6860.52160493827,6832.19727177335
7120.02865329513,7127.49502262443,7203.65370138018,13068.7908163265,7027.37319587629,7180.22448979592,7492.02680067002,6987.98823529412,7042.10822510823,6876.64814814815,6823.00839454355
7040.37535816619,7052.41176470588,7091.6486825596,13209.8316326531,7053.67422680412,7129.31195335277,7730.92127303183,6886.88470588235,6913.1038961039,6801.11111111111,6776.35047219307
7079.51862464183,7112.42443438914,7167.5834378921,12744.4770408163,7736.37731958763,7150.7084548105,8285.85594639866,6958.84941176471,6962.03463203463,7083.41666666667,6826.14165792235
7143.51575931232,7143.9185520362,7197.94228356336,13170.9132653061,7675.6,7232.06997084548,8470.60636515913,6959.51058823529,6987.11688311688,6881.27469135802,6860.82056663169
7114.65902578797,7107.32036199095,7168.57716436637,13122.5433673469,7897.53195876289,7227.25947521866,8932.32495812395,6973.37176470588,7001.1645021645,6904.77777777778,6841.95383001049
7163.19770773639,7140.72036199095,7211.36637390213,12680.8469387755,8554.73608247423,7228.40233236152,9593.05695142378,6993.68941176471,7014.57142857143,7126.91666666667,6859.88877229801
7119.77077363897,7122.32669683258,7176.82057716437,12673.6556122449,8928.91340206185,7185.96209912536,9758.9229480737,6941.31294117647,6938.03463203463,6894.92283950617,6824.83945435467
7063.44699140401,7098.70497737557,7169.81806775408,12162.8826530612,9495.99381443299,7138.55685131195,9881.17922948074,6935.85882352941,6932.16883116883,7092.07716049383,6795.65162644281
7087.65329512894,7126.26787330317,7175.67628607277,12722.7653061224,8617.87216494845,7153.7055393586,9353.03685092127,6912.11294117647,6933.90909090909,6818.7037037037,6836.43546694648
7043.60458452722,7089.64253393665,7145.96486825596,12113.2806122449,9452.44329896907,7117.93586005831,9868.52261306533,7349.62117647059,6947.4329004329,7396.51234567901,6782.78069254984
7070.7106017192,7120.69592760181,7161.10790464241,12100.2525510204,8525.47835051546,7143.14577259475,8963.23283082077,6923.36941176471,6949.35930735931,6817.99382716049,6812.48688352571
7045.37249283668,7094.07330316742,7124.76662484316,11527.9821428571,8745.24742268041,7109.30612244898,8976.47738693467,7435.15764705882,6941.35064935065,6774.13580246914,6797.83210912907
7131.21489971347,7183.38190045249,7235.84943538269,11353.5459183673,8451.94432989691,7182.16034985423,8915.95477386935,7502.08,6987.07792207792,6833.50308641975,6855.57292759706
7111.18911174785,7124.992760181,7195.17063989962,11611.2397959184,7951.58969072165,7149.40524781341,8530.00502512563,6929.80470588235,6971.95238095238,6826.19135802469,6835.47848898216
7107.52722063037,7156.31764705882,7236.84818067754,11962.9744897959,7434.04329896907,7201.08746355685,8264.43551088777,6963.60470588235,6979.19913419913,6810.02160493827,6829.22875131165
7063.56160458453,7060.85158371041,7122.05144291092,11887.8137755102,7340.98144329897,7139.79300291545,8575.78224455611,6899.88235294118,6930.37662337662,6803.97839506173,6805.22560335782
7078.95128939828,7136.76108597285,7179.59598494354,12152.2117346939,7207.23917525773,7196.04664723032,8592.54773869347,6971.07294117647,6979.45454545455,6820.31481481481,6846.16684155299
7037.28653295129,7124.39095022624,7177.9661229611,11606.1530612245,8071.12989690722,7212.09329446064,9346.82412060301,7107.74823529412,6986.80952380952,7299.48456790123,6798.68625393494
7066.90830945559,7145.73755656109,7203.0225846926,12056.0382653061,7980.54432989691,7183.65597667638,9233.44891122278,6926.27294117647,6979.39826839827,7075.20679012346,6834.71248688353
7066.21203438395,7145.45158371041,7205.30614805521,12085.806122449,8239.20206185567,7213.06413994169,9057.8391959799,6918.51529411765,6964.25108225108,6876.92592592593,6809.44491080798
7040.43266475645,7091.09049773756,7162.86825595985,12223.9744897959,8206.54226804124,7139.76093294461,8887.31993299833,6900.08235294118,6910.16883116883,6939.67283950617,6787.87827911857
7077.96561604585,7170.192760181,7204.9774153074,12468.8086734694,7889.50103092784,7186.03498542274,8636.7135678392,6929.71764705882,6929.72727272727,6817.15432098765,6844.22665267576
7093.16045845272,7131.94660633484,7184.75407779172,12434.2831632653,7931.51340206186,7210.22157434402,9156.17755443886,6926.98352941176,6955.16017316017,7152.35802469136,6844.1259181532
7082.47277936963,7092.14841628959,7119.68632371393,12221.6198979592,8000.55670103093,7181.07288629738,9542.60636515913,7302.77176470588,6885.2683982684,7127.14814814815,6812.22560335782
7044.13180515759,7080.62895927602,7153.23337515684,13174.2091836735,7004.09690721649,7174.55976676385,8870.15075376884,6882.32470588235,6911.35064935065,6796.66358024691,6783.23819517314
7068.22636103152,7080.69864253394,7114.02509410289,12814.5790816327,7548.76494845361,7179.26822157434,9602.77889447236,7254.51764705882,6948.25541125541,6892.27469135802,6802.12486883526
7024.6217765043,7092.95294117647,7145.44165621079,12495.2244897959,8253.78556701031,7173.14868804665,9991.57956448911,7866.96,6924.85714285714,6952.89814814815,6771.4721930745
7115.39828080229,7137.34660633484,7174.59096612296,13053.2576530612,8019.81649484536,7188.18367346939,9961.14237855946,7153.12470588235,6926.09956709957,6809.93209876543,6853.17208814271
7013.92550143266,7057.39004524887,7130.54705144291,13169.112244898,7817.66804123711,7111.98833819242,10070.4020100503,6929.48,6882.64069264069,6735.18518518519,6766.36516264428
7024.83954154728,7081.50678733032,7117.42158092848,12720.0459183673,8531.79381443299,7141.98833819242,10343.1859296482,6999.68470588235,6878.88744588745,6933.57716049383,6765.46799580273
7065.02005730659,7084.81538461538,7161.54203262233,13199.612244898,7771.4618556701,7174.3556851312,9948.57956448911,6900.45882352941,6938.58441558442,6809.80555555556,6784.0944386149
7030.54727793696,7076.26425339367,7136.1982434128,12517.7984693878,8677.75051546392,7150.87463556851,10167.6850921273,6872.64470588235,6893.54112554113,7199.95061728395,6786.53200419727
7019.09169054441,7091.98642533937,7123.82183186951,11250.1096938776,9065.09896907217,7118.89795918367,10009.8525963149,7021.47764705882,6883.48051948052,7112.28395061728,6783.90031479538
7057.69914040115,7145.13393665158,7186.4278544542,11188.1428571429,8675.12783505155,7163.92128279883,9597.94304857622,6896.30117647059,6910.0303030303,7001.17283950617,6816.59496327387
7026.28080229226,7080.36108597285,7147.04391468005,10972.1403061224,8547.54226804124,7096.99416909621,9162.09547738693,6894.81176470588,6899.50649350649,6851.23148148148,6789.94963273872
7033.53581661891,7084.1185520362,7121.86072772898,10569.3698979592,8777.20206185567,7104.37317784257,9099.96147403685,6856.96235294118,6875.68398268398,6739.58950617284,6786.61594963274
7049.87392550143,7103.55656108597,7180.14805520703,9825.72193877551,9443.82886597938,7167.49271137026,9259.41373534338,7211.09411764706,6937.07792207792,7017.86728395062,6808.98006295908
7022.30372492837,7077.34660633484,7128.29611041405,9818.02806122449,9697.47835051546,7095.27988338192,9476.79564489112,7368.88705882353,6863.34632034632,7331.77160493827,6790.55089192025
7073.62750716332,7112.91674208145,7161.06775407779,10190.2984693878,8828.72577319588,7174.44314868805,9185.35008375209,7100.89882352941,6925.31168831169,7216.97839506173,6826.00944386149
7067.31232091691,7111.79185520362,7146.49560853199,10044.5535714286,8875.43092783505,7159.98833819242,9182.27638190955,7341.65647058824,6913.38528138528,7207.51543209877,6803.35991605456
7039.17478510029,7073.78009049774,7153.90464240903,9509.77551020408,9078.74020618557,7156.73760932945,9407.00502512563,7582.82352941176,6888.86147186147,7335.53395061728,6786.63798530955
