Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8
14742.0331632653,6955.75463917526,7119.18658892128,7279.73366834171,6921.58588235294,6923.75324675325,6787.7962962963,6743.81741867786
14667.6530612245,6948.03298969072,7125.31778425656,7070.89447236181,6917.27058823529,6943.51515151515,6827.85802469136,6786.64742917104
14764.8341836735,6970.94020618557,7139.94460641399,7131.06532663317,6928.86117647059,6970.80952380952,6824.32407407407,6781.87722980063
14147.7576530612,6960.09278350515,7156.19533527697,7766.40871021776,7106.78588235294,6963.01298701299,6845.35185185185,6800.51521511018
14128.0892857143,6968.71546391753,7148.75801749271,7550.0067001675,7032.54117647059,6953.62770562771,6817.73148148148,6827.71143756558
13799.9158163265,7014.32577319588,7218.22448979592,7534.27805695142,6966.55529411765,7010.36363636364,6887.00925925926,6871.34102833158
13434.375,6958.52989690722,7148.93002915452,7343.79899497487,6922.94588235294,6947.87445887446,6808.02469135802,6770.74606505771
13278.5076530612,7037.79793814433,7224.78425655977,7373.97487437186,7006.28470588235,7045.39826839827,6900.53395061728,6890.91605456453
13212.2040816327,6969.9793814433,7152.63556851312,7429.30150753769,6952.79764705882,6964.53246753247,6860.52160493827,6832.19727177335
13068.7908163265,7027.37319587629,7180.22448979592,7492.02680067002,6987.98823529412,7042.10822510823,6876.64814814815,6823.00839454355
13209.8316326531,7053.67422680412,7129.31195335277,7730.92127303183,6886.88470588235,6913.1038961039,6801.11111111111,6776.35047219307
12744.4770408163,7736.37731958763,7150.7084548105,8285.85594639866,6958.84941176471,6962.03463203463,7083.41666666667,6826.14165792235
13170.9132653061,7675.6,7232.06997084548,8470.60636515913,6959.51058823529,6987.11688311688,6881.27469135802,6860.82056663169
13122.5433673469,7897.53195876289,7227.25947521866,8932.32495812395,6973.37176470588,7001.1645021645,6904.77777777778,6841.95383001049
12680.8469387755,8554.73608247423,7228.40233236152,9593.05695142378,6993.68941176471,7014.57142857143,7126.91666666667,6859.88877229801
12673.6556122449,8928.91340206185,7185.96209912536,9758.9229480737,6941.31294117647,6938.03463203463,6894.92283950617,6824.83945435467
12162.8826530612,9495.99381443299,7138.55685131195,9881.17922948074,6935.85882352941,6932.16883116883,7092.07716049383,6795.65162644281
12722.7653061224,8617.87216494845,7153.7055393586,9353.03685092127,6912.11294117647,6933.90909090909,6818.7037037037,6836.43546694648
12113.2806122449,9452.44329896907,7117.93586005831,9868.52261306533,7349.62117647059,6947.4329004329,7396.51234567901,6782.78069254984
12100.2525510204,8525.47835051546,7143.14577259475,8963.23283082077,6923.36941176471,6949.35930735931,6817.99382716049,6812.48688352571
11527.9821428571,8745.24742268041,7109.30612244898,8976.47738693467,7435.15764705882,6941.35064935065,6774.13580246914,6797.83210912907
11353.5459183673,8451.94432989691,7182.16034985423,8915.95477386935,7502.08,6987.07792207792,6833.50308641975,6855.57292759706
11611.2397959184,7951.58969072165,7149.40524781341,8530.00502512563,6929.80470588235,6971.95238095238,6826.19135802469,6835.47848898216
11962.9744897959,7434.04329896907,7201.08746355685,8264.43551088777,6963.60470588235,6979.19913419913,6810.02160493827,6829.22875131165
11887.8137755102,7340.98144329897,7139.79300291545,8575.78224455611,6899.88235294118,6930.37662337662,6803.97839506173,6805.22560335782
12152.2117346939,7207.23917525773,7196.04664723032,8592.54773869347,6971.07294117647,6979.45454545455,6820.31481481481,6846.16684155299
11606.1530612245,8071.12989690722,7212.09329446064,9346.82412060301,7107.74823529412,6986.80952380952,7299.48456790123,6798.68625393494
12056.0382653061,7980.54432989691,7183.65597667638,9233.44891122278,6926.27294117647,6979.39826839827,7075.20679012346,6834.71248688353
12085.806122449,8239.20206185567,7213.06413994169,9057.8391959799,6918.51529411765,6964.25108225108,6876.92592592593,6809.44491080798
12223.9744897959,8206.54226804124,7139.76093294461,8887.31993299833,6900.08235294118,6910.16883116883,6939.67283950617,6787.87827911857
12468.8086734694,7889.50103092784,7186.03498542274,8636.7135678392,6929.71764705882,6929.72727272727,6817.15432098765,6844.22665267576
12434.2831632653,7931.51340206186,7210.22157434402,9156.17755443886,6926.98352941176,6955.16017316017,7152.35802469136,6844.1259181532
12221.6198979592,8000.55670103093,7181.07288629738,9542.60636515913,7302.77176470588,6885.2683982684,7127.14814814815,6812.22560335782
