Condition,Number,Cell,DutyCycle,On/Off,RawNorm_AvgAmplitude,FoldChange_AvgAmplitude,RawNorm_PeakAmplitude,FoldChange_PeakAmplitude,NumOscillations
KO,1,Beta,0,0,127.0148213,1.018124943,259.7507163,1.03706628,32
KO,2,Beta,0,0,148.5321752,1.021095392,329.9954751,1.046867851,29
KO,3,Beta,0,0,158.7905688,1.022391206,325.7590966,1.045935594,32
KO,1,Delta,0.470238095,1,2791.914161,1.403095154,7838.642857,2.13173929,8
KO,2,Delta,0.279761905,1,450.143704,1.064830675,2754.103093,1.396651915,14
KO,3,Delta,0,0,175.5301784,1.024739007,345.6209913,1.048711396,29
KO,4,Delta,0.375,1,813.4999601,1.115555456,3303.276382,1.469221424,10
KO,5,Delta,0,0,150.7171989,1.02198017,1009.997647,1.147295201,15
KO,6,Delta,0,0,113.8312204,1.016585382,220.2164502,1.032085872,38
KO,7,Delta,0,0,250.4852109,1.037190545,1503.32716,1.223205022,23
KO,8,Delta,0,0,117.120784,1.017367134,216.9580273,1.032171397,36
KO,1,Beta,0.359550562,1,2673.050236,1.398578111,9672.297101,2.442234737,9
KO,2,Beta,0.494252874,1,3961.444216,1.588004181,9807.514894,2.455746804,13
KO,3,Beta,0.229885057,1,330.5689135,1.049290043,2928.090498,1.436597938,2
KO,4,Beta,0,0,91.15347952,1.013514602,201.437421,1.029865526,14
KO,5,Beta,0,0,193.2147091,1.028381125,2160.802083,1.317398166,1
KO,6,Beta,0,0,150.8613828,1.021987182,310.6244726,1.045271736,10
KO,7,Beta,0.261363636,1,466.5341682,1.069269932,4156.12585,1.617092109,5
KO,8,Beta,0.367816092,1,770.0551724,1.113917164,3917.99697,1.579604058,7
KO,9,Beta,0,0,104.1364127,1.01515689,229.8358531,1.033452245,13
KO,10,Beta,0,0,89.21651005,1.01294945,168.4879808,1.024455413,17
KO,11,Beta,0.540229885,1,3089.263227,1.439916736,10150.26718,2.445416618,8
KO,12,Beta,0,0,2669.968579,1.388537643,5276.004098,1.767771655,5
KO,13,Beta,0.126436782,1,320.3330586,1.047015705,2683.777344,1.393901537,4
KO,14,Beta,0,0,114.0512839,1.016664063,1623.519481,1.237212861,2
KO,15,Beta,0.195402299,1,607.6448539,1.089879949,7109.938931,2.051668495,5
KO,16,Beta,0,0,349.4718391,1.052516515,2442.981579,1.3671165,3
KO,17,Beta,0,0,133.3787507,1.020377488,1369.610487,1.209247886,1
KO,18,Beta,0,0,62.7074857,1.009687431,114.1888112,1.017640577,21
KO,19,Beta,0.556818182,1,1135.753551,1.177533876,5727.776042,1.895330046,11
KO,20,Beta,0.511363636,1,8286.687585,2.297982378,15847.52985,3.482272231,6
KO,21,Beta,0,0,114.4380878,1.017573964,1818.482759,1.279259746,3
KO,22,Beta,0,0,90.26807627,1.013728904,714.7972973,1.108713775,6
KO,1,Delta,0,0,3768.860251,1.290483737,7011.59882,1.540416808,1
KO,2,Delta,0,0,4471.477858,1.305584572,8042.984556,1.549664356,0
KO,3,Delta,0,0,2559.163116,1.16240737,4544.245232,1.288382914,3
KO,4,Delta,0,0,4704.192883,1.312206015,10013.27193,1.664556875,2
KO,5,Delta,0,0,114.5832042,1.017832606,1845.231061,1.287173656,2
KO,6,Delta,0.329545455,1,1783.499448,1.275141835,7463.417004,2.151387094,5
KO,7,Delta,0,0,2401.113212,1.36236966,3765.702955,1.568309937,5
KO,8,Delta,0.636363636,1,3154.675677,1.468351638,6479.902913,1.96202382,5
KO,9,Delta,0,0,145.7799976,1.021921237,1277.91129,1.19216214,6
KO,10,Delta,0,0,4829.613025,1.490787815,8313.231013,1.844794907,5
KO,11,Delta,0,0,56.72758805,1.008349746,108.094984,1.015910525,20
KO,12,Delta,0.545454545,1,2692.053781,1.389000041,7514.053097,2.085775841,5
KO,13,Delta,0,0,1043.27016,1.09080448,2217.566667,1.193013273,16
KO,14,Delta,0,0,1194.663571,1.17059137,2236.286149,1.319329331,6
KO,15,Delta,0,0,1601.377344,1.235572641,3500.737033,1.514980351,20
KO,16,Delta,0,0,2635.328455,1.160672565,4882.389796,1.297672986,21
KO,17,Delta,0.409090909,1,3470.234995,1.514313921,10539.22955,2.561990032,11
KO,18,Delta,0,0,1112.948341,1.067053004,2265.391691,1.136485506,19
KO,19,Delta,0,0,2511.745433,1.260961155,4705.40678,1.488874539,2
wt,1,Beta,0,0,329.552953,1.052683721,2175.371113,1.347763978,6
wt,2,Beta,0.411764706,1,3039.550177,1.48118125,8395.170891,2.329012053,15
wt,3,Beta,0.441176471,1,4021.884354,1.375705597,9948.97889,1.929387005,14
wt,4,Beta,0.485294118,1,3921.721696,1.5619801,9973.389121,2.429180001,16
wt,5,Beta,0,0,56.05732411,1.008971514,100.2117647,1.016038069,14
wt,6,Beta,0.455882353,1,7319.053193,1.621667845,19123.69956,2.624334294,12
wt,7,Beta,0,0,352.8884722,1.056635178,1787.35906,1.286853798,7
wt,8,Beta,0.441176471,1,1486.88121,1.238290476,5311.473498,1.85122708,10
wt,9,Beta,0.352941176,1,3114.272469,1.496398118,9322.309443,2.485925496,8
wt,10,Beta,0,0,1419.477333,1.17080046,2818.686645,1.339162143,14
wt,11,Beta,0.426470588,1,4266.792282,1.421286495,9682.290679,1.955991769,14
